,nr_steps,sample_size,mean,std,se,nr_features
0,2,5,0.3625,0.08149003006503311,0.036443449342783124,3
1,2,10,0.4375,0.08838834764831845,0.03952847075210474,3
2,2,50,0.55,0.08149003006503311,0.036443449342783124,3
3,2,100,0.65,0.11353688827865593,0.050775240028974745,3
4,2,500,0.7125,0.07126096406869611,0.0318688719599549,3
5,2,1000,0.7625,0.1354967711792425,0.06059599821770411,3
6,3,5,0.425,0.08149003006503311,0.036443449342783124,4
7,3,10,0.4625,0.2321771952625839,0.10383279828647594,4
8,3,50,0.7375,0.12022115038544591,0.053764532919016415,4
9,3,100,0.825,0.11180339887498948,0.049999999999999996,4
10,3,500,0.8875,0.1354967711792425,0.06059599821770411,4
11,3,1000,0.9125,0.09478594305064438,0.04238956239453292,4
12,4,5,0.45,0.09270248108869579,0.041457809879442496,5
13,4,10,0.525,0.19059938352471134,0.0852386356061616,5
14,4,50,0.6875,0.11692679333668567,0.052291251658379716,5
15,4,100,0.95,0.05229125165837972,0.023385358667337132,5
16,4,500,0.9,0.11353688827865593,0.050775240028974745,5
17,4,1000,0.9125,0.09478594305064438,0.04238956239453292,5
18,5,5,0.4125,0.12183492931011206,0.054486236794258416,6
19,5,10,0.5125,0.1734304615688951,0.07756046028744286,6
20,5,50,0.7375,0.14252192813739226,0.06373774391990981,6
21,5,100,0.85,0.12183492931011204,0.054486236794258416,6
22,5,500,0.925,0.10269797953221864,0.045927932677184584,6
23,5,1000,0.9125,0.03423265984407287,0.015309310892394859,6
24,6,5,0.4,0.09478594305064438,0.04238956239453292,7
25,6,10,0.5125,0.08149003006503311,0.036443449342783124,7
26,6,50,0.7,0.14921670482891652,0.0667317390751957,7
27,6,100,0.8625,0.12022115038544591,0.053764532919016415,7
28,6,500,0.8625,0.06846531968814575,0.030618621784789718,7
29,6,1000,0.925,0.08149003006503312,0.03644344934278313,7
30,7,5,0.425,0.11180339887498948,0.049999999999999996,8
31,7,10,0.5,0.18221724671391565,0.08149003006503311,8
32,7,50,0.725,0.09478594305064439,0.042389562394532926,8
33,7,100,0.8625,0.08149003006503311,0.036443449342783124,8
34,7,500,0.875,0.11692679333668567,0.052291251658379716,8
35,7,1000,0.9125,0.09478594305064438,0.04238956239453292,8
36,8,5,0.4,0.07126096406869611,0.0318688719599549,9
37,8,10,0.5375,0.12960275845829825,0.05796011559684814,9
38,8,50,0.7625,0.1202211503854459,0.05376453291901641,9
39,8,100,0.8375,0.07126096406869611,0.0318688719599549,9
40,8,500,0.9,0.09478594305064438,0.04238956239453292,9
41,8,1000,0.8875,0.05229125165837972,0.023385358667337132,9
42,9,5,0.3875,0.06846531968814576,0.03061862178478972,10
43,9,10,0.525,0.16298006013006622,0.07288689868556625,10
44,9,50,0.7625,0.08149003006503311,0.036443449342783124,10
45,9,100,0.875,0.10825317547305482,0.048412291827592706,10
46,9,500,0.9125,0.10458250331675945,0.046770717334674264,10
47,9,1000,0.9,0.055901699437494755,0.025000000000000005,10
48,10,5,0.4125,0.09478594305064439,0.042389562394532926,11
49,10,10,0.5,0.11692679333668568,0.05229125165837972,11
50,10,50,0.675,0.027950849718747377,0.012500000000000002,11
51,10,100,0.8125,0.07654655446197431,0.03423265984407288,11
52,10,500,0.85,0.09478594305064438,0.04238956239453292,11
53,10,1000,0.8875,0.10269797953221864,0.045927932677184584,11
54,11,5,0.4,0.09478594305064438,0.04238956239453292,12
55,11,10,0.5375,0.14388580541526672,0.06434768838116875,12
56,11,50,0.6875,0.07654655446197432,0.03423265984407289,12
57,11,100,0.8625,0.10269797953221864,0.045927932677184584,12
58,11,500,0.825,0.09270248108869578,0.04145780987944249,12
59,11,1000,0.9125,0.07126096406869611,0.0318688719599549,12
60,12,5,0.4125,0.09478594305064439,0.042389562394532926,13
61,12,10,0.525,0.16298006013006622,0.07288689868556625,13
62,12,50,0.7125,0.03423265984407289,0.015309310892394864,13
63,12,100,0.8,0.09270248108869579,0.041457809879442496,13
64,12,500,0.9125,0.03423265984407289,0.015309310892394864,13
65,12,1000,0.9,0.055901699437494755,0.025000000000000005,13
66,13,5,0.4125,0.09478594305064439,0.042389562394532926,14
67,13,10,0.5625,0.13258252147247768,0.05929270612815712,14
68,13,50,0.725,0.07126096406869613,0.03186887195995491,14
69,13,100,0.8625,0.08149003006503311,0.036443449342783124,14
70,13,500,0.875,0.11692679333668567,0.052291251658379716,14
71,13,1000,0.9125,0.0712609640686961,0.03186887195995489,14
72,14,5,0.4,0.09478594305064438,0.04238956239453292,15
73,14,10,0.5625,0.13258252147247768,0.05929270612815712,15
74,14,50,0.6875,0.09882117688026186,0.04419417382415922,15
75,14,100,0.8375,0.07126096406869611,0.0318688719599549,15
76,14,500,0.875,0.08838834764831843,0.039528470752104736,15
77,14,1000,0.8875,0.08149003006503311,0.036443449342783124,15
78,15,5,0.4,0.09478594305064438,0.04238956239453292,16
79,15,10,0.5625,0.13258252147247768,0.05929270612815712,16
80,15,50,0.7375,0.08149003006503311,0.036443449342783124,16
81,15,100,0.825,0.08149003006503311,0.036443449342783124,16
82,15,500,0.875,0.04419417382415922,0.01976423537605237,16
83,15,1000,0.8625,0.08149003006503312,0.03644344934278313,16
84,16,5,0.4,0.09478594305064438,0.04238956239453292,17
85,16,10,0.5625,0.13258252147247768,0.05929270612815712,17
86,16,50,0.7875,0.03423265984407287,0.015309310892394859,17
87,16,100,0.8375,0.08385254915624211,0.0375,17
88,16,500,0.8875,0.08149003006503311,0.036443449342783124,17
89,16,1000,0.9375,0.07654655446197431,0.03423265984407288,17
90,17,5,0.4125,0.09478594305064439,0.042389562394532926,18
91,17,10,0.55,0.14921670482891655,0.06673173907519571,18
92,17,50,0.725,0.055901699437494734,0.024999999999999994,18
93,17,100,0.8375,0.05590169943749474,0.024999999999999998,18
94,17,500,0.875,0.08838834764831845,0.03952847075210474,18
95,17,1000,0.9125,0.09478594305064438,0.04238956239453292,18
96,18,5,0.4,0.09478594305064438,0.04238956239453292,19
97,18,10,0.5625,0.13258252147247768,0.05929270612815712,19
98,18,50,0.725,0.09478594305064438,0.04238956239453292,19
99,18,100,0.875,0.0625,0.02795084971874737,19
100,18,500,0.9125,0.055901699437494755,0.025000000000000005,19
101,18,1000,0.9,0.05590169943749474,0.024999999999999998,19
102,19,5,0.4,0.09478594305064438,0.04238956239453292,20
103,19,10,0.55,0.14921670482891655,0.06673173907519571,20
104,19,50,0.7,0.05229125165837973,0.023385358667337135,20
105,19,100,0.8125,0.07654655446197431,0.03423265984407288,20
106,19,500,0.875,0.06249999999999999,0.027950849718747367,20
107,19,1000,0.9,0.09478594305064439,0.042389562394532926,20
