,nr_steps,sample_size,mean,std,se,nr_features
0,2,5,0.25,0.11692679333668567,0.052291251658379716,3
1,2,10,0.4375,0.11692679333668567,0.052291251658379716,3
2,2,50,0.5375,0.18006075363609916,0.08052561704203202,3
3,2,100,0.7375,0.10269797953221865,0.04592793267718459,3
4,2,500,0.8625,0.0927024810886958,0.0414578098794425,3
5,2,1000,0.9125,0.10458250331675945,0.046770717334674264,3
6,3,5,0.3625,0.1617772388193098,0.0723489806424389,4
7,3,10,0.4875,0.23133444404152184,0.1034559084827928,4
8,3,50,0.65,0.14388580541526672,0.06434768838116875,4
9,3,100,0.875,0.07654655446197431,0.03423265984407288,4
10,3,500,0.9875,0.027950849718747377,0.012500000000000002,4
11,3,1000,0.9875,0.027950849718747384,0.012500000000000006,4
12,4,5,0.475,0.05590169943749474,0.024999999999999998,5
13,4,10,0.5375,0.24044230077089182,0.10752906583803283,5
14,4,50,0.75,0.15934435979977452,0.07126096406869611,5
15,4,100,0.95,0.05229125165837972,0.023385358667337132,5
16,4,500,0.9625,0.05590169943749474,0.024999999999999998,5
17,4,1000,0.9875,0.027950849718747384,0.012500000000000006,5
18,5,5,0.45,0.08149003006503311,0.036443449342783124,6
19,5,10,0.575,0.22273162101506824,0.09960860906568265,6
20,5,50,0.7875,0.12960275845829827,0.057960115596848154,6
21,5,100,0.9625,0.05590169943749474,0.024999999999999998,6
22,5,500,0.9875,0.027950849718747377,0.012500000000000002,6
23,5,1000,0.9875,0.027950849718747384,0.012500000000000006,6
24,6,5,0.4625,0.07126096406869611,0.0318688719599549,7
25,6,10,0.525,0.19059938352471134,0.0852386356061616,7
26,6,50,0.8125,0.15934435979977452,0.07126096406869611,7
27,6,100,0.9375,0.07654655446197431,0.03423265984407288,7
28,6,500,0.975,0.055901699437494734,0.024999999999999994,7
29,6,1000,0.9875,0.027950849718747384,0.012500000000000006,7
30,7,5,0.5,0.07654655446197432,0.03423265984407289,8
31,7,10,0.5625,0.2460627460628691,0.11004260538536881,8
32,7,50,0.8375,0.11353688827865592,0.050775240028974745,8
33,7,100,0.975,0.055901699437494755,0.025000000000000005,8
34,7,500,0.9625,0.05590169943749474,0.024999999999999998,8
35,7,1000,0.975,0.03423265984407289,0.015309310892394864,8
36,8,5,0.475,0.07126096406869613,0.03186887195995491,9
37,8,10,0.5125,0.22707377655731187,0.10155048005794949,9
38,8,50,0.8125,0.08838834764831845,0.03952847075210474,9
