,nr_steps,sample_size,mean,std,se,nr_features
0,2,5,0.2,0.05229125165837972,0.023385358667337132,3
1,2,10,0.3125,0.0625,0.02795084971874737,3
2,2,50,0.325,0.10269797953221865,0.04592793267718459,3
3,2,100,0.375,0.11692679333668568,0.05229125165837972,3
4,2,500,0.4375,0.0625,0.02795084971874737,3
5,2,1000,0.5625,0.07654655446197431,0.03423265984407288,3
6,3,5,0.3,0.06846531968814576,0.03061862178478972,4
7,3,10,0.3625,0.128086884574495,0.057282196186948,4
8,3,50,0.525,0.14388580541526672,0.06434768838116875,4
9,3,100,0.575,0.05229125165837972,0.023385358667337132,4
10,3,500,0.8375,0.08385254915624211,0.0375,4
11,3,1000,0.825,0.08149003006503311,0.036443449342783124,4
12,4,5,0.225,0.09478594305064439,0.042389562394532926,5
13,4,10,0.325,0.08149003006503311,0.036443449342783124,5
14,4,50,0.5625,0.04419417382415922,0.01976423537605237,5
15,4,100,0.6875,0.0625,0.02795084971874737,5
16,4,500,0.9,0.05590169943749474,0.024999999999999998,5
17,4,1000,0.8625,0.05229125165837972,0.023385358667337132,5
18,5,5,0.2625,0.06846531968814577,0.03061862178478973,6
19,5,10,0.375,0.07654655446197431,0.03423265984407288,6
20,5,50,0.5375,0.1505199322349037,0.0673145600891813,6
21,5,100,0.725,0.07126096406869613,0.03186887195995491,6
22,5,500,0.925,0.052291251658379716,0.02338535866733713,6
23,5,1000,0.8875,0.052291251658379716,0.02338535866733713,6
24,6,5,0.35,0.07126096406869611,0.0318688719599549,7
25,6,10,0.3625,0.08149003006503311,0.036443449342783124,7
26,6,50,0.5625,0.10825317547305482,0.048412291827592706,7
27,6,100,0.725,0.09478594305064438,0.04238956239453292,7
28,6,500,0.9125,0.07126096406869613,0.03186887195995491,7
29,6,1000,0.8625,0.06846531968814577,0.03061862178478973,7
30,7,5,0.25,0.08838834764831845,0.03952847075210474,8
31,7,10,0.3875,0.09270248108869579,0.041457809879442496,8
32,7,50,0.55,0.11180339887498951,0.05000000000000001,8
33,7,100,0.6875,0.07654655446197431,0.03423265984407288,8
34,7,500,0.9125,0.05590169943749474,0.024999999999999998,8
35,7,1000,0.8625,0.06846531968814577,0.03061862178478973,8
36,8,5,0.275,0.1956559480312316,0.0875,9
37,8,10,0.35,0.05590169943749474,0.024999999999999998,9
38,8,50,0.5125,0.05229125165837971,0.02338535866733713,9
39,8,100,0.725,0.05590169943749474,0.024999999999999998,9
40,8,500,0.8875,0.06846531968814577,0.03061862178478973,9
41,8,1000,0.875,0.0625,0.02795084971874737,9
42,9,5,0.25,0.04419417382415922,0.01976423537605237,10
43,9,10,0.325,0.08149003006503312,0.03644344934278313,10
44,9,50,0.5375,0.09478594305064438,0.04238956239453292,10
45,9,100,0.7,0.05229125165837973,0.023385358667337135,10
46,9,500,0.925,0.02795084971874736,0.012499999999999994,10
47,9,1000,0.8625,0.08149003006503311,0.036443449342783124,10
48,10,5,0.1875,0.04419417382415922,0.01976423537605237,11
49,10,10,0.375,0.0625,0.02795084971874737,11
50,10,50,0.525,0.10458250331675945,0.046770717334674264,11
51,10,100,0.8,0.06846531968814577,0.03061862178478973,11
52,10,500,0.9125,0.03423265984407287,0.015309310892394859,11
