,nr_steps,sample_size,mean,std,se,nr_features
0,2,5,0.275,0.13693063937629152,0.06123724356957944,3
1,2,10,0.3875,0.08149003006503311,0.036443449342783124,3
2,2,50,0.45,0.027950849718747367,0.012499999999999997,3
3,2,100,0.8875,0.05229125165837973,0.023385358667337135,3
4,2,500,0.875,0.08838834764831843,0.039528470752104736,3
5,2,1000,0.9125,0.055901699437494734,0.024999999999999994,3
6,3,5,0.5125,0.05229125165837974,0.02338535866733714,4
7,3,10,0.5875,0.05590169943749474,0.024999999999999998,4
8,3,50,0.625,0.09882117688026186,0.04419417382415922,4
9,3,100,0.875,0.07654655446197431,0.03423265984407288,4
10,3,500,0.825,0.027950849718747367,0.012499999999999997,4
11,3,1000,0.9125,0.055901699437494734,0.024999999999999994,4
12,4,5,0.5375,0.07126096406869611,0.0318688719599549,5
13,4,10,0.7,0.1118033988749895,0.05,5
14,4,50,0.7,0.10269797953221864,0.045927932677184584,5
15,4,100,0.8875,0.027950849718747367,0.012499999999999997,5
16,4,500,0.9875,0.027950849718747384,0.012500000000000006,5
17,4,1000,1.0,0.0,0.0,5
18,5,5,0.6,0.13693063937629152,0.06123724356957944,6
19,5,10,0.7375,0.08149003006503311,0.036443449342783124,6
20,5,50,0.825,0.12022115038544591,0.053764532919016415,6
21,5,100,0.95,0.027950849718747377,0.012500000000000002,6
22,5,500,1.0,0.0,0.0,6
23,5,1000,1.0,0.0,0.0,6
24,6,5,0.575,0.1354967711792425,0.06059599821770411,7
25,6,10,0.7375,0.05229125165837971,0.02338535866733713,7
26,6,50,0.8625,0.09270248108869579,0.041457809879442496,7
27,6,100,0.925,0.052291251658379716,0.02338535866733713,7
28,6,500,1.0,0.0,0.0,7
29,6,1000,1.0,0.0,0.0,7
30,7,5,0.5625,0.04419417382415922,0.01976423537605237,8
31,7,10,0.75,0.07654655446197431,0.03423265984407288,8
32,7,50,0.8125,0.06249999999999999,0.027950849718747367,8
33,7,100,0.9125,0.07126096406869614,0.031868871959954914,8
34,7,500,1.0,0.0,0.0,8
35,7,1000,1.0,0.0,0.0,8
36,8,5,0.55,0.08149003006503311,0.036443449342783124,9
37,8,10,0.7625,0.06846531968814579,0.030618621784789735,9
38,8,50,0.825,0.08149003006503311,0.036443449342783124,9
39,8,100,0.9125,0.055901699437494755,0.025000000000000005,9
40,8,500,1.0,0.0,0.0,9
41,8,1000,1.0,0.0,0.0,9
42,9,5,0.55,0.06846531968814579,0.030618621784789735,10
43,9,10,0.7625,0.09270248108869579,0.041457809879442496,10
44,9,50,0.8,0.10269797953221865,0.04592793267718459,10
45,9,100,0.95,0.027950849718747377,0.012500000000000002,10
46,9,500,1.0,0.0,0.0,10
47,9,1000,1.0,0.0,0.0,10
48,10,5,0.6,0.14388580541526672,0.06434768838116875,11
49,10,10,0.8,0.05229125165837971,0.02338535866733713,11
50,10,50,0.8125,0.06249999999999999,0.027950849718747367,11
51,10,100,0.9,0.03423265984407288,0.01530931089239486,11
52,10,500,1.0,0.0,0.0,11
53,10,1000,1.0,0.0,0.0,11
54,11,5,0.5625,0.09882117688026186,0.04419417382415922,12
55,11,10,0.775,0.055901699437494734,0.024999999999999994,12
56,11,50,0.7625,0.09270248108869579,0.041457809879442496,12
57,11,100,0.9375,0.04419417382415922,0.01976423537605237,12
58,11,500,1.0,0.0,0.0,12
59,11,1000,1.0,0.0,0.0,12
60,12,5,0.575,0.0522912516583797,0.023385358667337125,13
61,12,10,0.75,0.07654655446197431,0.03423265984407288,13
62,12,50,0.7875,0.08385254915624211,0.0375,13
63,12,100,0.9375,0.0625,0.02795084971874737,13
64,12,500,1.0,0.0,0.0,13
65,12,1000,1.0,0.0,0.0,13
66,13,5,0.5625,0.07654655446197431,0.03423265984407288,14
67,13,10,0.7625,0.06846531968814577,0.03061862178478973,14
68,13,50,0.85,0.07126096406869613,0.03186887195995491,14
69,13,100,0.925,0.06846531968814575,0.030618621784789718,14
70,13,500,1.0,0.0,0.0,14
71,13,1000,1.0,0.0,0.0,14
72,14,5,0.55,0.08149003006503311,0.036443449342783124,15
73,14,10,0.7625,0.06846531968814577,0.03061862178478973,15
74,14,50,0.825,0.02795084971874736,0.012499999999999994,15
