,nr_steps,sample_size,mean,std,se,nr_features
0,2,5,0.41500000000000004,0.08403868156985804,0.03758324094593226,3
1,2,10,0.375,0.07288689868556626,0.03259601202601325,3
2,2,50,0.275,0.039528470752104757,0.017677669529663695,3
3,2,100,0.27999999999999997,0.04808846015417835,0.02150581316760656,3
4,2,500,0.635,0.11937336386313323,0.05338539126015656,3
5,2,1000,0.8550000000000001,0.0570087712549569,0.025495097567963924,3
6,3,5,0.48,0.027386127875258306,0.012247448713915891,4
7,3,10,0.41500000000000004,0.06020797289396147,0.026925824035672518,4
8,3,50,0.525,0.05,0.022360679774997897,4
9,3,100,0.515,0.0821583836257749,0.036742346141747664,4
10,3,500,0.875,0.049999999999999996,0.022360679774997894,4
11,3,1000,0.985,0.02236067977499794,0.010000000000000018,4
12,4,5,0.595,0.04808846015417833,0.021505813167606552,5
13,4,10,0.64,0.07623975340988452,0.034095454242464636,5
14,4,50,0.71,0.037914377220257714,0.016955824957813153,5
15,4,100,0.85,0.07071067811865474,0.031622776601683784,5
16,4,500,1.0,0.0,0.0,5
17,4,1000,0.9850000000000001,0.013693063937629172,0.006123724356957953,5
18,5,5,0.595,0.03259601202601323,0.014577379737113243,6
19,5,10,0.6449999999999999,0.10216408370851274,0.04568916720624266,6
20,5,50,0.885,0.041833001326703825,0.01870828693386973,6
21,5,100,0.9550000000000001,0.03259601202601323,0.014577379737113243,6
22,5,500,1.0,0.0,0.0,6
23,5,1000,0.9949999999999999,0.011180339887498926,0.00499999999999999,6
24,6,5,0.625,0.017677669529663702,0.007905694150420955,7
25,6,10,0.675,0.05863019699779287,0.02622022120425379,7
26,6,50,0.9199999999999999,0.011180339887498962,0.005000000000000006,7
27,6,100,0.985,0.022360679774997925,0.010000000000000012,7
28,6,500,1.0,0.0,0.0,7
29,6,1000,1.0,0.0,0.0,7
30,7,5,0.65,0.03061862178478976,0.013693063937629167,8
31,7,10,0.78,0.08177713616898065,0.03657184709581949,8
32,7,50,0.8800000000000001,0.037080992435478397,0.016583123951777034,8
33,7,100,0.9549999999999998,0.03259601202601325,0.014577379737113252,8
34,7,500,1.0,0.0,0.0,8
35,7,1000,1.0,0.0,0.0,8
36,8,5,0.65,0.01767766952966377,0.007905694150420984,9
37,8,10,0.79,0.0651920240520265,0.029154759474226504,9
38,8,50,0.9200000000000002,0.020916500663351913,0.009354143466934865,9
39,8,100,0.99,0.013693063937629152,0.006123724356957945,9
40,8,500,1.0,0.0,0.0,9
41,8,1000,1.0,0.0,0.0,9
42,9,5,0.635,0.013693063937629178,0.006123724356957956,10
43,9,10,0.75,0.03952847075210476,0.0176776695296637,10
44,9,50,0.97,0.032596012026013255,0.014577379737113256,10
45,9,100,0.99,0.022360679774997918,0.010000000000000009,10
46,9,500,1.0,0.0,0.0,10
47,9,1000,1.0,0.0,0.0,10
48,10,5,0.625,0.05590169943749471,0.024999999999999984,11
49,10,10,0.805,0.05123475382979798,0.022912878474779193,11
50,10,50,0.95,0.03535533905932736,0.01581138830084189,11
51,10,100,1.0,0.0,0.0,11
52,10,500,1.0,0.0,0.0,11
53,10,1000,1.0,0.0,0.0,11
54,11,5,0.6449999999999999,0.02091650066335193,0.009354143466934872,12
55,11,10,0.79,0.06274950199005566,0.028062430400804556,12
56,11,50,0.9400000000000001,0.048733971724044825,0.02179449471770337,12
57,11,100,0.99,0.013693063937629191,0.006123724356957962,12
58,11,500,1.0,0.0,0.0,12
59,11,1000,1.0,0.0,0.0,12
60,12,5,0.655,0.032596012026013234,0.014577379737113247,13
