,nr_steps,sample_size,mean,std,se,nr_features
0,2,5,0.4,0.1505199322349037,0.0673145600891813,3
1,2,10,0.4,0.13693063937629155,0.06123724356957946,3
2,2,50,0.5375,0.08385254915624211,0.0375,3
3,2,100,0.6,0.03423265984407287,0.015309310892394859,3
4,2,500,0.7625,0.09270248108869578,0.04145780987944249,3
5,2,1000,0.875,0.07654655446197431,0.03423265984407288,3
6,3,5,0.35,0.13693063937629152,0.06123724356957944,4
7,3,10,0.375,0.09882117688026186,0.04419417382415922,4
8,3,50,0.5375,0.07126096406869613,0.03186887195995491,4
9,3,100,0.6125,0.12022115038544591,0.053764532919016415,4
10,3,500,0.8625,0.09270248108869579,0.041457809879442496,4
11,3,1000,0.925,0.05229125165837974,0.02338535866733714,4
12,4,5,0.325,0.08149003006503311,0.036443449342783124,5
13,4,10,0.375,0.08838834764831845,0.03952847075210474,5
14,4,50,0.4625,0.03423265984407287,0.015309310892394859,5
15,4,100,0.575,0.06846531968814577,0.03061862178478973,5
16,4,500,0.8,0.11180339887498948,0.049999999999999996,5
17,4,1000,0.9125,0.09478594305064439,0.042389562394532926,5
18,5,5,0.3375,0.1505199322349037,0.0673145600891813,6
19,5,10,0.3875,0.14252192813739226,0.06373774391990981,6
20,5,50,0.575,0.10269797953221865,0.04592793267718459,6
21,5,100,0.6375,0.0814900300650331,0.03644344934278312,6
22,5,500,0.8375,0.0947859430506444,0.04238956239453293,6
23,5,1000,0.925,0.06846531968814576,0.03061862178478972,6
24,6,5,0.3125,0.15309310892394862,0.06846531968814576,7
25,6,10,0.3375,0.10458250331675946,0.04677071733467427,7
26,6,50,0.475,0.0947859430506444,0.04238956239453293,7
27,6,100,0.6,0.055901699437494734,0.024999999999999994,7
28,6,500,0.875,0.07654655446197431,0.03423265984407288,7
29,6,1000,0.9,0.12960275845829827,0.057960115596848154,7
30,7,5,0.35,0.12960275845829825,0.05796011559684814,8
31,7,10,0.375,0.09882117688026186,0.04419417382415922,8
32,7,50,0.6125,0.06846531968814576,0.03061862178478972,8
33,7,100,0.6,0.07126096406869613,0.03186887195995491,8
34,7,500,0.8,0.05229125165837972,0.023385358667337132,8
35,7,1000,0.9625,0.05590169943749474,0.024999999999999998,8
36,8,5,0.35,0.19059938352471134,0.0852386356061616,9
37,8,10,0.325,0.06846531968814577,0.03061862178478973,9
38,8,50,0.55,0.05229125165837971,0.02338535866733713,9
39,8,100,0.625,0.04419417382415923,0.019764235376052375,9
40,8,500,0.8125,0.04419417382415922,0.01976423537605237,9
41,8,1000,0.9125,0.03423265984407289,0.015309310892394864,9
42,9,5,0.35,0.1688657010763287,0.07551903733496607,10
43,9,10,0.325,0.12022115038544591,0.053764532919016415,10
44,9,50,0.5125,0.09270248108869579,0.041457809879442496,10
45,9,100,0.625,0.06250000000000001,0.027950849718747377,10
46,9,500,0.8,0.052291251658379716,0.02338535866733713,10
47,9,1000,0.925,0.05229125165837972,0.023385358667337132,10
48,10,5,0.375,0.1767766952966369,0.07905694150420949,11
49,10,10,0.35,0.11353688827865593,0.050775240028974745,11
50,10,50,0.5125,0.06846531968814576,0.03061862178478972,11
51,10,100,0.6,0.03423265984407289,0.015309310892394864,11
52,10,500,0.825,0.06846531968814577,0.03061862178478973,11
53,10,1000,0.95,0.05229125165837971,0.02338535866733713,11
54,11,5,0.3625,0.18957188610128875,0.08477912478906584,12
55,11,10,0.3375,0.12960275845829827,0.057960115596848154,12
56,11,50,0.5375,0.11353688827865593,0.050775240028974745,12
57,11,100,0.6125,0.052291251658379716,0.02338535866733713,12
58,11,500,0.8375,0.05590169943749474,0.024999999999999998,12
59,11,1000,0.95,0.05229125165837974,0.02338535866733714,12
60,12,5,0.35,0.16298006013006622,0.07288689868556625,13
61,12,10,0.3625,0.1202211503854459,0.05376453291901641,13
62,12,50,0.525,0.13693063937629152,0.06123724356957944,13
63,12,100,0.6125,0.09270248108869579,0.041457809879442496,13
64,12,500,0.8,0.05229125165837971,0.02338535866733713,13
65,12,1000,0.95,0.05229125165837971,0.02338535866733713,13
66,13,5,0.3375,0.1505199322349037,0.0673145600891813,14
67,13,10,0.3625,0.1202211503854459,0.05376453291901641,14
68,13,50,0.5,0.10825317547305482,0.048412291827592706,14
69,13,100,0.6125,0.05229125165837971,0.02338535866733713,14
70,13,500,0.825,0.06846531968814577,0.03061862178478973,14
71,13,1000,0.9375,0.0,0.0,14
72,14,5,0.35,0.15687375497513917,0.0701560760020114,15
73,14,10,0.3375,0.09478594305064439,0.042389562394532926,15
74,14,50,0.4875,0.06846531968814577,0.03061862178478973,15
75,14,100,0.6,0.05590169943749474,0.024999999999999998,15
76,14,500,0.825,0.06846531968814577,0.03061862178478973,15
77,14,1000,0.9375,0.04419417382415923,0.019764235376052375,15
78,15,5,0.4,0.2053959590644373,0.09185586535436918,16
79,15,10,0.325,0.14252192813739226,0.06373774391990981,16
80,15,50,0.5,0.07654655446197432,0.03423265984407289,16
81,15,100,0.6,0.07126096406869613,0.03186887195995491,16
82,15,500,0.825,0.06846531968814577,0.03061862178478973,16
83,15,1000,0.95,0.027950849718747377,0.012500000000000002,16
84,16,5,0.325,0.1617772388193098,0.0723489806424389,17
85,16,10,0.325,0.09270248108869579,0.041457809879442496,17
86,16,50,0.5125,0.09270248108869579,0.041457809879442496,17
87,16,100,0.6,0.03423265984407287,0.015309310892394859,17
88,16,500,0.825,0.06846531968814577,0.03061862178478973,17
89,16,1000,0.9375,0.0,0.0,17
90,17,5,0.3125,0.14657549249448218,0.06555055301063448,18
91,17,10,0.3375,0.09478594305064439,0.042389562394532926,18
92,17,50,0.5125,0.09270248108869579,0.041457809879442496,18
93,17,100,0.6125,0.027950849718747377,0.012500000000000002,18
94,17,500,0.825,0.06846531968814577,0.03061862178478973,18
95,17,1000,0.9375,0.0,0.0,18
96,18,5,0.35,0.1505199322349037,0.0673145600891813,19
97,18,10,0.3375,0.09478594305064439,0.042389562394532926,19
98,18,50,0.5125,0.08149003006503311,0.036443449342783124,19
99,18,100,0.625,0.04419417382415923,0.019764235376052375,19
100,18,500,0.825,0.06846531968814577,0.03061862178478973,19
101,18,1000,0.95,0.027950849718747377,0.012500000000000002,19
102,19,5,0.3375,0.14388580541526672,0.06434768838116875,20
103,19,10,0.3375,0.09478594305064439,0.042389562394532926,20
104,19,50,0.5125,0.08149003006503311,0.036443449342783124,20
105,19,100,0.6375,0.06846531968814577,0.03061862178478973,20
106,19,500,0.825,0.06846531968814577,0.03061862178478973,20
107,19,1000,0.95,0.027950849718747377,0.012500000000000002,20
