,nr_steps,sample_size,mean,std,se,nr_features
0,2,5,0.6,0.07126096406869611,0.0318688719599549,3
1,2,10,0.7,0.09270248108869579,0.041457809879442496,3
2,2,50,0.725,0.15687375497513917,0.0701560760020114,3
3,2,100,0.8125,0.09882117688026186,0.04419417382415922,3
4,2,500,0.9625,0.055901699437494734,0.024999999999999994,3
5,2,1000,1.0,0.0,0.0,3
6,3,5,0.5875,0.11353688827865595,0.05077524002897475,4
7,3,10,0.7125,0.10458250331675945,0.046770717334674264,4
8,3,50,0.7625,0.11180339887498947,0.04999999999999999,4
9,3,100,0.825,0.11180339887498947,0.04999999999999999,4
10,3,500,0.9875,0.027950849718747367,0.012499999999999997,4
11,3,1000,1.0,0.0,0.0,4
12,4,5,0.55,0.11180339887498948,0.049999999999999996,5
13,4,10,0.7625,0.05229125165837973,0.023385358667337135,5
14,4,50,0.7875,0.08385254915624211,0.0375,5
15,4,100,0.8375,0.07126096406869613,0.03186887195995491,5
16,4,500,1.0,0.0,0.0,5
17,4,1000,1.0,0.0,0.0,5
18,5,5,0.5625,0.0625,0.02795084971874737,6
19,5,10,0.7875,0.07126096406869613,0.03186887195995491,6
20,5,50,0.8125,0.09882117688026186,0.04419417382415922,6
21,5,100,0.875,0.04419417382415922,0.01976423537605237,6
22,5,500,1.0,0.0,0.0,6
23,5,1000,1.0,0.0,0.0,6
24,6,5,0.5875,0.12183492931011206,0.054486236794258416,7
25,6,10,0.75,0.13258252147247765,0.059292706128157104,7
26,6,50,0.8625,0.12022115038544591,0.053764532919016415,7
27,6,100,0.925,0.06846531968814579,0.030618621784789735,7
28,6,500,1.0,0.0,0.0,7
29,6,1000,1.0,0.0,0.0,7
30,7,5,0.5625,0.0625,0.02795084971874737,8
31,7,10,0.7625,0.11180339887498951,0.05000000000000001,8
32,7,50,0.85,0.11353688827865592,0.050775240028974745,8
33,7,100,0.9125,0.08385254915624211,0.0375,8
34,7,500,1.0,0.0,0.0,8
35,7,1000,1.0,0.0,0.0,8
36,8,5,0.55,0.128086884574495,0.057282196186948,9
37,8,10,0.75,0.11692679333668568,0.05229125165837972,9
38,8,50,0.8625,0.12022115038544591,0.053764532919016415,9
39,8,100,0.9125,0.08385254915624211,0.0375,9
40,8,500,1.0,0.0,0.0,9
41,8,1000,1.0,0.0,0.0,9
42,9,5,0.575,0.10269797953221864,0.045927932677184584,10
43,9,10,0.7375,0.1202211503854459,0.05376453291901641,10
44,9,50,0.875,0.125,0.05590169943749474,10
45,9,100,0.9,0.07126096406869611,0.0318688719599549,10
46,9,500,1.0,0.0,0.0,10
47,9,1000,1.0,0.0,0.0,10
48,10,5,0.55,0.1354967711792425,0.06059599821770411,11
49,10,10,0.7375,0.1202211503854459,0.05376453291901641,11
50,10,50,0.875,0.125,0.05590169943749474,11
