,nr_steps,sample_size,mean,std,se,nr_features
0,2,5,0.47000000000000003,0.1385189517719507,0.06194755846681934,3
1,2,10,0.515,0.048733971724044825,0.02179449471770337,3
2,2,50,0.725,0.06846531968814573,0.03061862178478971,3
3,2,100,0.825,0.039528470752104736,0.017677669529663684,3
4,2,500,0.8800000000000001,0.02738612787525833,0.012247448713915901,3
5,2,1000,0.905,0.020916500663351927,0.00935414346693487,3
6,3,5,0.55,0.10752906583803283,0.04808846015417836,4
7,3,10,0.62,0.04107919181288751,0.018371173070873856,4
8,3,50,0.8799999999999999,0.020916500663351885,0.00935414346693485,4
9,3,100,0.8800000000000001,0.06224949798994372,0.027838821814150132,4
10,3,500,0.985,0.02236067977499794,0.010000000000000018,4
11,3,1000,0.9650000000000001,0.02850438562747845,0.012747548783981962,4
12,4,5,0.58,0.10368220676663858,0.04636809247747851,5
13,4,10,0.64,0.0627495019900556,0.02806243040080453,5
14,4,50,0.8550000000000001,0.04472135954999579,0.019999999999999997,5
15,4,100,0.9800000000000001,0.02091650066335193,0.009354143466934872,5
16,4,500,0.97,0.04472135954999577,0.01999999999999999,5
17,4,1000,1.0,0.0,0.0,5
18,5,5,0.615,0.08403868156985808,0.03758324094593228,6
19,5,10,0.665,0.07202430145443967,0.03221024681681281,6
20,5,50,0.925,0.035355339059327355,0.015811388300841885,6
21,5,100,0.9349999999999999,0.028504385627478403,0.012747548783981941,6
22,5,500,0.9949999999999999,0.011180339887498957,0.005000000000000004,6
23,5,1000,1.0,0.0,0.0,6
24,6,5,0.595,0.0990580637807948,0.0443001128666734,7
25,6,10,0.7049999999999998,0.08177713616898061,0.036571847095819475,7
26,6,50,0.9550000000000001,0.02091650066335186,0.00935414346693484,7
27,6,100,0.9650000000000001,0.04183300132670377,0.0187082869338697,7
28,6,500,1.0,0.0,0.0,7
29,6,1000,1.0,0.0,0.0,7
30,7,5,0.5900000000000001,0.08767838958375088,0.03921096785339529,8
31,7,10,0.7150000000000001,0.09937303457175896,0.04444097208657794,8
32,7,50,0.95,0.017677669529663646,0.007905694150420929,8
33,7,100,0.99,0.013693063937629178,0.006123724356957956,8
34,7,500,1.0,0.0,0.0,8
35,7,1000,1.0,0.0,0.0,8
36,8,5,0.63,0.06471089552772392,0.028939592256975562,9
37,8,10,0.7200000000000001,0.08551315688243534,0.03824264635194588,9
38,8,50,0.96,0.022360679774997876,0.00999999999999999,9
39,8,100,0.985,0.02236067977499792,0.01000000000000001,9
40,8,500,1.0,0.0,0.0,9
41,8,1000,1.0,0.0,0.0,9
42,9,5,0.6100000000000001,0.06754628043053151,0.030207614933986444,10
43,9,10,0.725,0.08838834764831846,0.03952847075210475,10
44,9,50,0.97,0.03259601202601324,0.014577379737113249,10
45,9,100,0.9949999999999999,0.011180339887498959,0.0050000000000000044,10
46,9,500,1.0,0.0,0.0,10
47,9,1000,1.0,0.0,0.0,10
48,10,5,0.615,0.08215838362577486,0.036742346141747644,11
49,10,10,0.7300000000000001,0.09253377761660869,0.0413823633931171,11
50,10,50,0.9650000000000001,0.03354101966249685,0.015,11
51,10,100,0.9949999999999999,0.011180339887498957,0.005000000000000004,11
52,10,500,1.0,0.0,0.0,11
53,10,1000,1.0,0.0,0.0,11
54,11,5,0.625,0.07071067811865474,0.031622776601683784,12
55,11,10,0.7300000000000001,0.09253377761660869,0.0413823633931171,12
56,11,50,0.9650000000000001,0.03354101966249685,0.015,12
57,11,100,0.9949999999999999,0.011180339887498957,0.005000000000000004,12
58,11,500,1.0,0.0,0.0,12
59,11,1000,1.0,0.0,0.0,12
60,12,5,0.61,0.07623975340988451,0.03409545424246463,13
61,12,10,0.7300000000000001,0.09253377761660869,0.0413823633931171,13
62,12,50,0.9650000000000001,0.03354101966249685,0.015,13
63,12,100,0.9949999999999999,0.011180339887498957,0.005000000000000004,13
64,12,500,1.0,0.0,0.0,13
65,12,1000,1.0,0.0,0.0,13
66,13,5,0.625,0.07288689868556626,0.03259601202601325,14
67,13,10,0.735,0.08403868156985803,0.03758324094593225,14
68,13,50,0.9650000000000001,0.03354101966249685,0.015,14
69,13,100,0.9949999999999999,0.011180339887498957,0.005000000000000004,14
70,13,500,1.0,0.0,0.0,14
71,13,1000,1.0,0.0,0.0,14
72,14,5,0.6199999999999999,0.06937218462755804,0.03102418411497714,15
73,14,10,0.735,0.08403868156985803,0.03758324094593225,15
74,14,50,0.9650000000000001,0.03354101966249685,0.015,15
75,14,100,0.9949999999999999,0.011180339887498957,0.005000000000000004,15
76,14,500,1.0,0.0,0.0,15
77,14,1000,1.0,0.0,0.0,15
78,15,5,0.6199999999999999,0.06708203932499372,0.030000000000000013,16
79,15,10,0.7300000000000001,0.07984359711335656,0.03570714214271425,16
80,15,50,0.9650000000000001,0.03354101966249685,0.015,16
81,15,100,0.9949999999999999,0.011180339887498957,0.005000000000000004,16
82,15,500,1.0,0.0,0.0,16
83,15,1000,1.0,0.0,0.0,16
