,nr_steps,sample_size,mean,std,se,nr_features
0,2,5,0.3375,0.05590169943749475,0.025,3
1,2,10,0.5125,0.1789727632909544,0.0800390529679106,3
2,2,50,0.65,0.05590169943749474,0.024999999999999998,3
3,2,100,0.7625,0.12022115038544591,0.053764532919016415,3
4,2,500,0.95,0.08149003006503312,0.03644344934278313,3
5,2,1000,0.975,0.03423265984407289,0.015309310892394864,3
6,3,5,0.3625,0.08149003006503311,0.036443449342783124,4
7,3,10,0.5125,0.1617772388193098,0.0723489806424389,4
8,3,50,0.7375,0.05229125165837971,0.02338535866733713,4
9,3,100,0.875,0.0625,0.02795084971874737,4
10,3,500,0.975,0.03423265984407289,0.015309310892394864,4
11,3,1000,1.0,0.0,0.0,4
12,4,5,0.4125,0.03423265984407289,0.015309310892394864,5
13,4,10,0.575,0.2091650066335189,0.09354143466934853,5
14,4,50,0.7625,0.09270248108869578,0.04145780987944249,5
15,4,100,0.925,0.08149003006503312,0.03644344934278313,5
16,4,500,0.95,0.06846531968814577,0.03061862178478973,5
17,4,1000,0.975,0.03423265984407289,0.015309310892394864,5
18,5,5,0.35,0.07126096406869613,0.03186887195995491,6
19,5,10,0.5,0.1926379375927805,0.08615030470056388,6
20,5,50,0.7625,0.08149003006503311,0.036443449342783124,6
21,5,100,0.9125,0.03423265984407289,0.015309310892394864,6
22,5,500,0.95,0.05229125165837973,0.023385358667337135,6
23,5,1000,0.9875,0.027950849718747377,0.012500000000000002,6
24,6,5,0.3375,0.13693063937629152,0.06123724356957944,7
25,6,10,0.45,0.14921670482891652,0.0667317390751957,7
26,6,50,0.7875,0.09478594305064439,0.042389562394532926,7
27,6,100,0.925,0.08149003006503311,0.036443449342783124,7
28,6,500,0.95,0.08149003006503311,0.036443449342783124,7
29,6,1000,1.0,0.0,0.0,7
30,7,5,0.35,0.12960275845829825,0.05796011559684814,8
31,7,10,0.5,0.1711632992203644,0.07654655446197431,8
32,7,50,0.8125,0.08838834764831845,0.03952847075210474,8
33,7,100,0.95,0.08149003006503311,0.036443449342783124,8
34,7,500,0.975,0.03423265984407289,0.015309310892394864,8
35,7,1000,0.9875,0.027950849718747384,0.012500000000000006,8
36,8,5,0.3625,0.14252192813739226,0.06373774391990981,9
37,8,10,0.4875,0.15562374497485915,0.06959705453537526,9
38,8,50,0.8,0.10269797953221864,0.045927932677184584,9
39,8,100,0.925,0.08149003006503311,0.036443449342783124,9
40,8,500,0.9625,0.03423265984407289,0.015309310892394864,9
41,8,1000,0.9875,0.027950849718747377,0.012500000000000002,9
42,9,5,0.3875,0.12022115038544591,0.053764532919016415,10
43,9,10,0.4875,0.16177723881930983,0.07234898064243891,10
44,9,50,0.8,0.08149003006503311,0.036443449342783124,10
45,9,100,0.925,0.06846531968814576,0.03061862178478972,10
46,9,500,0.975,0.03423265984407289,0.015309310892394864,10
47,9,1000,1.0,0.0,0.0,10
48,10,5,0.4,0.11353688827865593,0.050775240028974745,11
49,10,10,0.5,0.15934435979977452,0.07126096406869611,11
50,10,50,0.825,0.06846531968814577,0.03061862178478973,11
51,10,100,0.925,0.06846531968814576,0.03061862178478972,11
52,10,500,0.9875,0.027950849718747377,0.012500000000000002,11
53,10,1000,0.9875,0.027950849718747384,0.012500000000000006,11
54,11,5,0.375,0.09882117688026186,0.04419417382415922,12
55,11,10,0.525,0.18006075363609916,0.08052561704203202,12
56,11,50,0.8125,0.08838834764831845,0.03952847075210474,12
57,11,100,0.925,0.06846531968814576,0.03061862178478972,12
58,11,500,0.9625,0.055901699437494734,0.024999999999999994,12
59,11,1000,1.0,0.0,0.0,12
60,12,5,0.3875,0.09270248108869579,0.041457809879442496,13
61,12,10,0.525,0.20058508169851516,0.08970437559004577,13
62,12,50,0.7875,0.08385254915624211,0.0375,13
63,12,100,0.9125,0.07126096406869611,0.0318688719599549,13
64,12,500,0.9625,0.03423265984407289,0.015309310892394864,13
65,12,1000,1.0,0.0,0.0,13
66,13,5,0.3625,0.16177723881930983,0.07234898064243891,14
67,13,10,0.5375,0.1956559480312316,0.0875,14
68,13,50,0.825,0.06846531968814577,0.03061862178478973,14
69,13,100,0.925,0.05229125165837973,0.023385358667337135,14
70,13,500,0.95,0.05229125165837974,0.02338535866733714,14
71,13,1000,1.0,0.0,0.0,14
72,14,5,0.3625,0.08149003006503311,0.036443449342783124,15
73,14,10,0.5125,0.1843485150469078,0.08244316223920573,15
74,14,50,0.8125,0.0625,0.02795084971874737,15
75,14,100,0.9375,0.04419417382415922,0.01976423537605237,15
76,14,500,0.95,0.05229125165837974,0.02338535866733714,15
77,14,1000,1.0,0.0,0.0,15
78,15,5,0.3625,0.08149003006503311,0.036443449342783124,16
79,15,10,0.475,0.15687375497513917,0.0701560760020114,16
80,15,50,0.8,0.08149003006503311,0.036443449342783124,16
81,15,100,0.9375,0.04419417382415922,0.01976423537605237,16
82,15,500,0.95,0.05229125165837974,0.02338535866733714,16
83,15,1000,1.0,0.0,0.0,16
84,16,5,0.3375,0.12960275845829825,0.05796011559684814,17
85,16,10,0.5,0.15309310892394862,0.06846531968814576,17
86,16,50,0.8125,0.0625,0.02795084971874737,17
87,16,100,0.9375,0.04419417382415922,0.01976423537605237,17
88,16,500,0.95,0.05229125165837974,0.02338535866733714,17
89,16,1000,1.0,0.0,0.0,17
90,17,5,0.375,0.18221724671391565,0.08149003006503311,18
91,17,10,0.525,0.18540496217739158,0.08291561975888499,18
92,17,50,0.8125,0.0625,0.02795084971874737,18
93,17,100,0.9375,0.04419417382415922,0.01976423537605237,18
94,17,500,0.95,0.05229125165837974,0.02338535866733714,18
95,17,1000,1.0,0.0,0.0,18
96,18,5,0.3625,0.08149003006503311,0.036443449342783124,19
97,18,10,0.55,0.19465514377996795,0.08705242673240074,19
98,18,50,0.775,0.07126096406869613,0.03186887195995491,19
99,18,100,0.9375,0.04419417382415922,0.01976423537605237,19
100,18,500,0.95,0.05229125165837974,0.02338535866733714,19
101,18,1000,1.0,0.0,0.0,19
102,19,5,0.375,0.18221724671391565,0.08149003006503311,20
103,19,10,0.5,0.18221724671391565,0.08149003006503311,20
104,19,50,0.7875,0.055901699437494734,0.024999999999999994,20
105,19,100,0.95,0.05229125165837973,0.023385358667337135,20
106,19,500,0.975,0.03423265984407289,0.015309310892394864,20
107,19,1000,1.0,0.0,0.0,20
