,nr_steps,sample_size,mean,std,se,nr_features
0,2,5,0.3625,0.1354967711792425,0.06059599821770411,3
1,2,10,0.4,0.08385254915624211,0.0375,3
2,2,50,0.5125,0.08149003006503312,0.03644344934278313,3
3,2,100,0.6375,0.052291251658379716,0.02338535866733713,3
4,2,500,0.8,0.06846531968814579,0.030618621784789735,3
5,2,1000,0.9125,0.055901699437494734,0.024999999999999994,3
6,3,5,0.325,0.08149003006503311,0.036443449342783124,4
7,3,10,0.3875,0.12022115038544591,0.053764532919016415,4
8,3,50,0.525,0.03423265984407288,0.01530931089239486,4
9,3,100,0.6125,0.08149003006503311,0.036443449342783124,4
10,3,500,0.875,0.0625,0.02795084971874737,4
11,3,1000,0.9125,0.05590169943749474,0.024999999999999998,4
12,4,5,0.3625,0.1354967711792425,0.06059599821770411,5
13,4,10,0.4375,0.1767766952966369,0.07905694150420949,5
14,4,50,0.55,0.09270248108869579,0.041457809879442496,5
15,4,100,0.6375,0.1202211503854459,0.05376453291901641,5
16,4,500,0.875,0.04419417382415922,0.01976423537605237,5
17,4,1000,0.9125,0.08385254915624211,0.0375,5
18,5,5,0.2875,0.14388580541526672,0.06434768838116875,6
19,5,10,0.3625,0.10269797953221865,0.04592793267718459,6
20,5,50,0.575,0.10269797953221864,0.045927932677184584,6
21,5,100,0.65,0.07126096406869611,0.0318688719599549,6
22,5,500,0.9,0.08385254915624211,0.0375,6
23,5,1000,0.9375,0.04419417382415923,0.019764235376052375,6
24,6,5,0.325,0.1354967711792425,0.06059599821770411,7
25,6,10,0.4625,0.13693063937629155,0.06123724356957946,7
26,6,50,0.5875,0.05590169943749474,0.024999999999999998,7
27,6,100,0.6625,0.0947859430506444,0.04238956239453293,7
28,6,500,0.9,0.11353688827865595,0.05077524002897475,7
29,6,1000,0.9,0.08385254915624213,0.037500000000000006,7
30,7,5,0.275,0.12960275845829827,0.057960115596848154,8
31,7,10,0.4125,0.10458250331675945,0.046770717334674264,8
32,7,50,0.55,0.09270248108869579,0.041457809879442496,8
33,7,100,0.725,0.09478594305064438,0.04238956239453292,8
34,7,500,0.9375,0.04419417382415922,0.01976423537605237,8
35,7,1000,0.9125,0.0712609640686961,0.03186887195995489,8
36,8,5,0.3625,0.1354967711792425,0.06059599821770411,9
37,8,10,0.3875,0.08149003006503311,0.036443449342783124,9
38,8,50,0.5625,0.07654655446197431,0.03423265984407288,9
39,8,100,0.7375,0.09270248108869579,0.041457809879442496,9
40,8,500,0.925,0.05229125165837973,0.023385358667337135,9
41,8,1000,0.925,0.027950849718747384,0.012500000000000006,9
42,9,5,0.4125,0.14388580541526674,0.06434768838116875,10
43,9,10,0.425,0.1354967711792425,0.06059599821770411,10
44,9,50,0.55,0.06846531968814575,0.030618621784789718,10
45,9,100,0.725,0.07126096406869613,0.03186887195995491,10
46,9,500,0.8875,0.0814900300650331,0.03644344934278312,10
47,9,1000,0.9375,0.04419417382415923,0.019764235376052375,10
48,10,5,0.45,0.09270248108869578,0.04145780987944249,11
49,10,10,0.4625,0.12960275845829825,0.05796011559684814,11
50,10,50,0.55,0.06846531968814575,0.030618621784789718,11
51,10,100,0.75,0.07654655446197432,0.03423265984407289,11
52,10,500,0.8875,0.0814900300650331,0.03644344934278312,11
53,10,1000,0.9375,0.04419417382415923,0.019764235376052375,11
54,11,5,0.325,0.128086884574495,0.057282196186948,12
55,11,10,0.4375,0.1767766952966369,0.07905694150420949,12
56,11,50,0.5625,0.07654655446197431,0.03423265984407288,12
57,11,100,0.75,0.07654655446197432,0.03423265984407289,12
58,11,500,0.925,0.06846531968814577,0.03061862178478973,12
59,11,1000,0.9375,0.04419417382415922,0.01976423537605237,12
60,12,5,0.3375,0.1688657010763287,0.07551903733496607,13
61,12,10,0.35,0.07126096406869611,0.0318688719599549,13
62,12,50,0.5625,0.04419417382415922,0.01976423537605237,13
63,12,100,0.7375,0.05229125165837972,0.023385358667337132,13
64,12,500,0.9375,0.044194173824159216,0.019764235376052368,13
65,12,1000,0.9375,0.04419417382415922,0.01976423537605237,13
66,13,5,0.3,0.1202211503854459,0.05376453291901641,14
67,13,10,0.4125,0.11353688827865593,0.050775240028974745,14
68,13,50,0.575,0.05229125165837973,0.023385358667337135,14
69,13,100,0.7,0.05229125165837973,0.023385358667337135,14
70,13,500,0.9,0.08385254915624213,0.037500000000000006,14
71,13,1000,0.9375,0.0625,0.02795084971874737,14
72,14,5,0.325,0.10269797953221865,0.04592793267718459,15
73,14,10,0.4,0.09478594305064439,0.042389562394532926,15
74,14,50,0.55,0.08149003006503312,0.03644344934278313,15
75,14,100,0.725,0.07126096406869613,0.03186887195995491,15
76,14,500,0.9,0.08385254915624213,0.037500000000000006,15
77,14,1000,0.9375,0.0625,0.02795084971874737,15
78,15,5,0.35,0.12183492931011204,0.054486236794258416,16
79,15,10,0.4,0.08385254915624211,0.0375,16
80,15,50,0.55,0.08149003006503312,0.03644344934278313,16
81,15,100,0.725,0.07126096406869613,0.03186887195995491,16
82,15,500,0.9,0.08385254915624213,0.037500000000000006,16
83,15,1000,0.9375,0.04419417382415922,0.01976423537605237,16
84,16,5,0.3,0.08149003006503311,0.036443449342783124,17
85,16,10,0.4,0.09478594305064439,0.042389562394532926,17
86,16,50,0.5625,0.09882117688026183,0.04419417382415921,17
87,16,100,0.6875,0.0625,0.02795084971874737,17
88,16,500,0.9,0.08385254915624213,0.037500000000000006,17
89,16,1000,0.9375,0.04419417382415922,0.01976423537605237,17
90,17,5,0.2875,0.09478594305064438,0.04238956239453292,18
91,17,10,0.3875,0.09270248108869579,0.041457809879442496,18
92,17,50,0.525,0.0712609640686961,0.03186887195995489,18
93,17,100,0.675,0.05229125165837972,0.023385358667337132,18
94,17,500,0.9,0.08385254915624213,0.037500000000000006,18
95,17,1000,0.925,0.05229125165837973,0.023385358667337135,18
96,18,5,0.3125,0.09882117688026186,0.04419417382415922,19
97,18,10,0.4125,0.13693063937629152,0.06123724356957944,19
98,18,50,0.6,0.07126096406869611,0.0318688719599549,19
99,18,100,0.675,0.05229125165837972,0.023385358667337132,19
100,18,500,0.9,0.08385254915624213,0.037500000000000006,19
101,18,1000,0.9375,0.04419417382415922,0.01976423537605237,19
102,19,5,0.325,0.08149003006503311,0.036443449342783124,20
103,19,10,0.4,0.12960275845829827,0.057960115596848154,20
104,19,50,0.575,0.0814900300650331,0.03644344934278312,20
105,19,100,0.675,0.05229125165837972,0.023385358667337132,20
106,19,500,0.9,0.08385254915624213,0.037500000000000006,20
107,19,1000,0.9375,0.04419417382415922,0.01976423537605237,20
