,nr_steps,sample_size,mean,std,se,nr_features
0,2,5,0.5875,0.09478594305064439,0.042389562394532926,3
1,2,10,0.675,0.11180339887498947,0.04999999999999999,3
2,2,50,0.725,0.11353688827865593,0.050775240028974745,3
3,2,100,0.85,0.09478594305064439,0.042389562394532926,3
4,2,500,0.9875,0.027950849718747367,0.012499999999999997,3
5,2,1000,1.0,0.0,0.0,3
6,3,5,0.6,0.11353688827865592,0.050775240028974745,4
7,3,10,0.7,0.16770509831248423,0.075,4
8,3,50,0.725,0.12183492931011204,0.054486236794258416,4
9,3,100,0.8625,0.08149003006503312,0.03644344934278313,4
10,3,500,1.0,0.0,0.0,4
11,3,1000,1.0,0.0,0.0,4
12,4,5,0.5375,0.10458250331675945,0.046770717334674264,5
13,4,10,0.6875,0.13258252147247765,0.059292706128157104,5
14,4,50,0.7875,0.12183492931011204,0.054486236794258416,5
15,4,100,0.8875,0.0814900300650331,0.03644344934278312,5
16,4,500,1.0,0.0,0.0,5
17,4,1000,1.0,0.0,0.0,5
18,5,5,0.5875,0.12960275845829825,0.05796011559684814,6
19,5,10,0.725,0.13693063937629155,0.06123724356957946,6
20,5,50,0.8,0.08149003006503311,0.036443449342783124,6
21,5,100,0.925,0.05229125165837973,0.023385358667337135,6
22,5,500,1.0,0.0,0.0,6
23,5,1000,1.0,0.0,0.0,6
24,6,5,0.6,0.08385254915624211,0.0375,7
25,6,10,0.7375,0.09270248108869578,0.04145780987944249,7
26,6,50,0.8375,0.08385254915624211,0.0375,7
27,6,100,0.9,0.07126096406869611,0.0318688719599549,7
28,6,500,1.0,0.0,0.0,7
29,6,1000,1.0,0.0,0.0,7
30,7,5,0.6,0.08385254915624211,0.0375,8
31,7,10,0.7375,0.1202211503854459,0.05376453291901641,8
32,7,50,0.825,0.06846531968814576,0.03061862178478972,8
33,7,100,0.9,0.09478594305064438,0.04238956239453292,8
34,7,500,1.0,0.0,0.0,8
35,7,1000,1.0,0.0,0.0,8
36,8,5,0.6,0.09478594305064438,0.04238956239453292,9
37,8,10,0.7125,0.14388580541526672,0.06434768838116875,9
38,8,50,0.8125,0.06249999999999999,0.027950849718747367,9
39,8,100,0.8625,0.08149003006503312,0.03644344934278313,9
40,8,500,1.0,0.0,0.0,9
41,8,1000,1.0,0.0,0.0,9
42,9,5,0.575,0.1354967711792425,0.06059599821770411,10
43,9,10,0.7,0.15562374497485917,0.06959705453537528,10
44,9,50,0.825,0.06846531968814576,0.03061862178478972,10
45,9,100,0.9,0.03423265984407287,0.015309310892394859,10
46,9,500,1.0,0.0,0.0,10
47,9,1000,1.0,0.0,0.0,10
48,10,5,0.5625,0.11692679333668567,0.052291251658379716,11
49,10,10,0.7375,0.09270248108869578,0.04145780987944249,11
50,10,50,0.8125,0.09882117688026186,0.04419417382415922,11
51,10,100,0.9,0.07126096406869611,0.0318688719599549,11
52,10,500,1.0,0.0,0.0,11
53,10,1000,1.0,0.0,0.0,11
54,11,5,0.5625,0.11692679333668567,0.052291251658379716,12
55,11,10,0.725,0.12960275845829825,0.05796011559684814,12
56,11,50,0.8125,0.09882117688026186,0.04419417382415922,12
57,11,100,0.85,0.09478594305064438,0.04238956239453292,12
58,11,500,1.0,0.0,0.0,12
59,11,1000,1.0,0.0,0.0,12
