,nr_steps,sample_size,mean,std,se,nr_features
0,2,5,0.34500000000000003,0.06937218462755804,0.03102418411497714,3
1,2,10,0.5700000000000001,0.04472135954999575,0.01999999999999998,3
2,2,50,0.7849999999999999,0.0575543221661067,0.025739075352467503,3
3,2,100,0.9099999999999999,0.02850438562747843,0.012747548783981953,3
4,2,500,0.9649999999999999,0.022360679774997925,0.010000000000000012,3
5,2,1000,1.0,0.0,0.0,3
6,3,5,0.385,0.051841103383319286,0.02318404623873925,4
7,3,10,0.675,0.04677071733467426,0.02091650066335188,4
8,3,50,0.825,0.03061862178478971,0.013693063937629145,4
9,3,100,0.9349999999999999,0.02850438562747841,0.012747548783981945,4
10,3,500,0.99,0.022360679774997918,0.010000000000000009,4
11,3,1000,1.0,0.0,0.0,4
12,4,5,0.41,0.022360679774997887,0.009999999999999995,5
13,4,10,0.65,0.017677669529663723,0.007905694150420963,5
14,4,50,0.9349999999999999,0.0720243014544397,0.032210246816812824,5
15,4,100,0.9949999999999999,0.011180339887498957,0.005000000000000004,5
16,4,500,1.0,0.0,0.0,5
17,4,1000,1.0,0.0,0.0,5
18,5,5,0.41000000000000003,0.04541475531146238,0.020310096011589902,6
19,5,10,0.725,0.050000000000000024,0.022360679774997907,6
20,5,50,0.9200000000000002,0.05968668193156661,0.026692695630078277,6
21,5,100,1.0,0.0,0.0,6
22,5,500,1.0,0.0,0.0,6
23,5,1000,1.0,0.0,0.0,6
24,6,5,0.40499999999999997,0.04808846015417835,0.02150581316760656,7
25,6,10,0.7849999999999999,0.028504385627478465,0.012747548783981969,7
26,6,50,0.9800000000000001,0.020916500663351892,0.009354143466934854,7
27,6,100,1.0,0.0,0.0,7
28,6,500,1.0,0.0,0.0,7
29,6,1000,1.0,0.0,0.0,7
30,7,5,0.39499999999999996,0.07373940601876312,0.03297726489568229,8
31,7,10,0.7549999999999999,0.05123475382979804,0.02291287847477922,8
32,7,50,0.9800000000000001,0.020916500663351892,0.009354143466934854,8
33,7,100,1.0,0.0,0.0,8
34,7,500,1.0,0.0,0.0,8
35,7,1000,1.0,0.0,0.0,8
36,8,5,0.41000000000000003,0.03791437722025777,0.016955824957813177,9
37,8,10,0.74,0.07416198487095658,0.03316624790355398,9
38,8,50,0.9800000000000001,0.020916500663351892,0.009354143466934854,9
39,8,100,1.0,0.0,0.0,9
40,8,500,1.0,0.0,0.0,9
41,8,1000,1.0,0.0,0.0,9
42,9,5,0.41000000000000003,0.028504385627478455,0.012747548783981964,10
43,9,10,0.75,0.07288689868556623,0.032596012026013234,10
44,9,50,0.9800000000000001,0.020916500663351892,0.009354143466934854,10
45,9,100,1.0,0.0,0.0,10
46,9,500,1.0,0.0,0.0,10
47,9,1000,1.0,0.0,0.0,10
48,10,5,0.4250000000000001,0.050000000000000024,0.022360679774997907,11
49,10,10,0.75,0.07288689868556623,0.032596012026013234,11
50,10,50,0.9800000000000001,0.020916500663351892,0.009354143466934854,11
51,10,100,1.0,0.0,0.0,11
52,10,500,1.0,0.0,0.0,11
53,10,1000,1.0,0.0,0.0,11
54,11,5,0.41500000000000004,0.04873397172404481,0.021794494717703363,12
55,11,10,0.74,0.08403868156985804,0.03758324094593226,12
56,11,50,0.9800000000000001,0.020916500663351892,0.009354143466934854,12
57,11,100,1.0,0.0,0.0,12
58,11,500,1.0,0.0,0.0,12
59,11,1000,1.0,0.0,0.0,12
60,12,5,0.42000000000000004,0.0447213595499958,0.020000000000000004,13
61,12,10,0.74,0.07623975340988454,0.03409545424246464,13
62,12,50,0.9800000000000001,0.020916500663351892,0.009354143466934854,13
63,12,100,1.0,0.0,0.0,13
64,12,500,1.0,0.0,0.0,13
65,12,1000,1.0,0.0,0.0,13
66,13,5,0.42000000000000004,0.020916500663351895,0.009354143466934856,14
67,13,10,0.7499999999999999,0.0790569415042095,0.03535533905932738,14
68,13,50,0.975,0.030618621784789697,0.01369306393762914,14
69,13,100,1.0,0.0,0.0,14
70,13,500,1.0,0.0,0.0,14
71,13,1000,1.0,0.0,0.0,14
72,14,5,0.41500000000000004,0.04183300132670379,0.018708286933869712,15
73,14,10,0.7449999999999999,0.08366600265340755,0.03741657386773941,15
74,14,50,0.9800000000000001,0.020916500663351892,0.009354143466934854,15
75,14,100,1.0,0.0,0.0,15
76,14,500,1.0,0.0,0.0,15
77,14,1000,1.0,0.0,0.0,15
78,15,5,0.41000000000000003,0.041833001326703784,0.01870828693386971,16
79,15,10,0.735,0.08587782018658832,0.03840572873934303,16
80,15,50,0.9800000000000001,0.020916500663351892,0.009354143466934854,16
81,15,100,1.0,0.0,0.0,16
82,15,500,1.0,0.0,0.0,16
83,15,1000,1.0,0.0,0.0,16
84,16,5,0.43,0.020916500663351868,0.009354143466934844,17
85,16,10,0.7449999999999999,0.08177713616898061,0.036571847095819475,17
86,16,50,0.9800000000000001,0.020916500663351892,0.009354143466934854,17
87,16,100,1.0,0.0,0.0,17
88,16,500,1.0,0.0,0.0,17
89,16,1000,1.0,0.0,0.0,17
90,17,5,0.41500000000000004,0.041833001326703784,0.01870828693386971,18
91,17,10,0.755,0.09253377761660872,0.041382363393117114,18
92,17,50,0.9800000000000001,0.020916500663351892,0.009354143466934854,18
93,17,100,1.0,0.0,0.0,18
94,17,500,1.0,0.0,0.0,18
95,17,1000,1.0,0.0,0.0,18
96,18,5,0.42000000000000004,0.03259601202601324,0.014577379737113249,19
97,18,10,0.765,0.08023403267940607,0.03588175023601831,19
98,18,50,0.9800000000000001,0.020916500663351892,0.009354143466934854,19
