,corr_coef,p_value,nr_moments,sample_size
0,0.9895853919664217,3.282413253084564e-30,2,5
1,0.9859979001450775,4.894524960777686e-28,3,5
2,0.9809180464491677,9.082828412570108e-26,4,5
3,0.9762776745072018,3.547575830109757e-24,5,5
4,0.9740133584827944,1.6424679598816257e-23,6,5
5,0.9717812169620508,6.553604545161239e-23,7,5
6,0.9707775577124427,1.1780770198607895e-22,8,5
7,0.9698557269970371,1.983394478150574e-22,9,5
8,0.9694650376165074,2.4614054426685704e-22,10,5
9,0.9690959965930198,3.010580590439414e-22,11,5
10,0.9689326808011457,3.2886708697146408e-22,12,5
11,0.9687843490290774,3.5619945703109755e-22,13,5
12,0.9687175486462696,3.691929709603203e-22,14,5
13,0.9686570436977522,3.813450377502553e-22,15,5
14,0.9686285257045818,3.8720209658708812e-22,16,5
15,0.9686033877381317,3.924349406439336e-22,17,5
16,0.9685911476104052,3.9500688915697957e-22,18,5
17,0.9685804949574384,3.972581504597488e-22,19,5
18,0.9685750800201698,3.9840712303514157e-22,20,5
19,0.9878907277803466,4.204177894308621e-29,2,10
20,0.9873040504224144,9.355062305003824e-29,3,10
21,0.9857193999773374,6.826477858359996e-28,4,10
22,0.9843365940385007,3.250904276760378e-27,5,10
23,0.9834874732540837,7.924323976340278e-27,6,10
24,0.9827459325380001,1.662783214296271e-26,7,10
25,0.9823768475591315,2.3761878208297337e-26,8,10
26,0.982044957742644,3.254850970237226e-26,9,10
27,0.9818924729893421,3.753727429287753e-26,10,10
28,0.981747856742679,4.29254291933805e-26,11,10
29,0.9816801176657053,4.569201563380784e-26,12,10
30,0.9816166192427793,4.843688038631978e-26,13,10
31,0.9815862246338671,4.98049363260974e-26,14,10
32,0.9815579386658976,5.1110644672836295e-26,15,10
33,0.9815437877740858,5.177587701508775e-26,16,10
34,0.9815310142800414,5.238334046492311e-26,17,10
35,0.9815244535014096,5.269794709024215e-26,18,10
36,0.9815186188400062,5.29792260819848e-26,19,10
37,0.9815155155128386,5.312940658692522e-26,20,10
38,0.9867185211932982,2.0044500021720753e-28,2,50
39,0.9881277333563178,3.009734548077974e-29,3,50
40,0.9893368489558758,4.8921363800057944e-30,4,50
41,0.9891882630720514,6.1826843877864655e-30,5,50
42,0.9895625350647033,3.4064624357259995e-30,6,50
43,0.9891619268545698,6.44247244256743e-30,7,50
44,0.9889787717105369,8.554078958340627e-30,8,50
45,0.9886969733657011,1.3111268345106886e-29,9,50
46,0.9885223705528912,1.6992037144367224e-29,10,50
47,0.9883547244190419,2.1714566953594703e-29,11,50
48,0.9882400639934168,2.562778891934777e-29,12,50
49,0.9881448890470019,2.937030554883793e-29,13,50
50,0.9880768958518076,3.2352459631619797e-29,14,50
51,0.9880234150564964,3.4895796249644533e-29,15,50
52,0.9879842860131869,3.687448238294668e-29,16,50
53,0.9879541765681435,3.846839612714414e-29,17,50
54,0.9879318309246723,3.969296467618523e-29,18,50
55,0.9879147754760965,4.065219508222131e-29,19,50
56,0.9879019946152819,4.138525981571557e-29,20,50
57,0.9842155732861007,3.701933349033873e-27,2,100
58,0.9853210542445622,1.0864355780961066e-27,3,100
59,0.9874599431538007,7.591795820066042e-29,4,100
60,0.9873342281830617,8.986204090974205e-29,5,100
61,0.9879004643989223,4.147385624120425e-29,6,100
62,0.9875086706979218,7.108220746726758e-29,7,100
63,0.9873568955288476,8.718187820891669e-29,8,100
64,0.9870842847512051,1.2503368027712072e-28,9,100
65,0.9869087831574378,1.5707033819942483e-28,10,100
66,0.9867511441180641,1.92285235158388e-28,11,100
67,0.9866420337853159,2.208712322307003e-28,12,100
68,0.9865559718954633,2.461893429764768e-28,13,100
69,0.9864948290072189,2.658085093987643e-28,14,100
70,0.9864487530577637,2.8155464055857783e-28,15,100
71,0.9864155903746405,2.9342618241474144e-28,16,100
72,0.9863910425654352,3.0251526524306403e-28,17,100
73,0.9863732358317792,3.0927337581059633e-28,18,100
74,0.9863601320308122,3.143370142979914e-28,19,100
75,0.9863505736222604,3.180796918252297e-28,20,100
76,0.983276694647677,9.815475230889683e-27,2,500
77,0.983819566900059,5.624220593907758e-27,3,500
78,0.986622399983364,2.2642170678602887e-28,4,500
79,0.9863255312687284,3.2808495646026512e-28,5,500
80,0.9869280003255724,1.5321871335360302e-28,6,500
81,0.9863880959275266,3.0362391496360606e-28,7,500
82,0.9861300058374058,4.170226078196693e-28,8,500
83,0.9857613282924635,6.495708393208003e-28,9,500
84,0.9855173141186233,8.655146113860722e-28,10,500
85,0.9852999856296042,1.1130728231191015e-27,11,500
86,0.9851458823632355,1.327422649646448e-27,12,500
87,0.9850234989937179,1.5247001626779487e-27,13,500
88,0.9849344295208832,1.6852679276659977e-27,14,500
89,0.9848664284334259,1.8184183369475143e-27,15,500
90,0.9848162826786246,1.9228774249074123e-27,16,500
91,0.984778533007328,2.005209187902517e-27,17,500
92,0.9847504843881232,2.0685173617604e-27,18,500
93,0.9847294396517361,2.1172461836157192e-27,19,500
94,0.9847137172271965,2.1543535358331745e-27,20,500
95,0.9831505319579443,1.114252112159001e-26,2,1000
96,0.9833394794826817,9.2118846766826e-27,3,1000
97,0.9859984685477627,4.891169485776008e-28,4,1000
98,0.9855948534313554,7.904896623133218e-28,5,1000
99,0.9862998472909823,3.386535181477996e-28,6,1000
100,0.9857287413066904,6.751441836282973e-28,7,1000
101,0.9854786527248787,9.053767038188064e-28,8,1000
102,0.9851074214865414,1.3866722990113821e-27,9,1000
103,0.9848706314697879,1.80990977799084e-27,10,1000
104,0.9846588896463824,2.288596346672568e-27,11,1000
105,0.9845125958665706,2.6863156349246404e-27,12,1000
106,0.984396584801966,3.0469916369546945e-27,13,1000
107,0.9843136319653505,3.332296489421002e-27,14,1000
108,0.9842507710475258,3.565029563196805e-27,15,1000
109,0.9842050924012404,3.743645000382617e-27,16,1000
110,0.984171024820601,3.8823002089941275e-27,17,1000
111,0.9841460366596652,3.987056664395031e-27,18,1000
112,0.9841274822092116,4.066554772145671e-27,19,1000
113,0.9841137875911559,4.126183983444472e-27,20,1000
