,corr_coef,p_value,nr_moments,sample_size
0,0.7587684996843739,0.0006549709390371153,2,5
1,0.6059885875094354,0.012840286378013871,3,5
2,0.4761718092234238,0.06224627712810689,4,5
3,0.4087796456746931,0.11593079748176804,5,5
4,0.3942075579137433,0.1308171162556727,6,5
5,0.38111214039817415,0.14527360952048055,7,5
6,0.3861855929525419,0.13954975904974432,8,5
7,0.38761581186273786,0.13796444463398488,9,5
8,0.39488783840850805,0.1300943076046497,10,5
9,0.39930492982124927,0.12546792344895621,11,5
10,0.4050911938294575,0.11958136077378534,12,5
11,0.40903420788152683,0.11568175217262014,13,5
12,0.412951393518197,0.1118964018875428,14,5
13,0.41572528758054084,0.10926886960947121,15,5
14,0.4181449215260077,0.10701251231326002,16,5
15,0.41985591961169055,0.10543687657347718,17,5
16,0.4212153674793276,0.1041966767411757,18,5
17,0.42213413236119385,0.10336434885044622,19,5
18,0.4227850952458331,0.1027774739215198,20,5
19,0.8640247410739232,1.5964634059975532e-05,2,10
20,0.6175258100821812,0.010807906804761732,3,10
21,0.35488766285858203,0.17740128106298306,4,10
22,0.2358576578159655,0.37918251749353993,5,10
23,0.1790581375889634,0.5069920826102643,6,10
24,0.14571410060675188,0.5902563094686653,7,10
25,0.12417110172345397,0.646826920298967,8,10
26,0.10900319137113494,0.687797819054475,9,10
27,0.09648540387471194,0.7222406244303113,10,10
28,0.08501955805463265,0.7542358432468597,11,10
29,0.07367398698217686,0.786268860925427,12,10
30,0.06209800036941848,0.8192867312714959,13,10
31,0.04990518650546147,0.8543734668245306,14,10
32,0.03720409838829414,0.8911960306701968,15,10
33,0.024137271523357956,0.929297030867533,16,10
34,0.010837759804523284,0.9682244642821652,17,10
35,-0.0025361315110743743,0.9925625928154274,18,10
36,-0.01584394971734454,0.9535590798640733,19,10
37,-0.028960716386194185,0.9152115929413994,20,10
38,0.9628966946252281,2.352924981874272e-09,2,25
39,0.8558397155292136,2.3494971894476566e-05,3,25
40,0.5793925096954969,0.018667381831529162,4,25
41,0.32289410500513005,0.22253514362802237,5,25
42,0.1533205955825899,0.5707795822851933,6,25
43,0.036704897502002516,0.8926480410185309,7,25
44,-0.038687098748320235,0.8868844005678478,8,25
45,-0.09004673688613697,0.7401581270916784,9,25
46,-0.1261247969402876,0.6416152496397,10,25
47,-0.15252601141958877,0.5728013631594867,11,25
48,-0.17241793215607565,0.5231239679874686,12,25
49,-0.1878001431195692,0.48611489095879273,13,25
50,-0.19994121162936104,0.4578228653981169,14,25
51,-0.20968135569572224,0.43573549171516657,15,25
52,-0.2175964735016538,0.418197722032886,16,25
53,-0.2240944513568071,0.4040809730814638,17,25
54,-0.22946987794261425,0.3925972904577356,18,25
