,corr_coef,p_value,nr_moments,sample_size
0,0.6033625089031531,0.013342189406667187,2,5
1,0.818167464366358,0.00010735497400105795,3,5
2,0.9550430132311889,8.834800587014534e-09,4,5
3,0.8652292560424357,1.5050841853010219e-05,5,5
4,0.7618356813636273,0.0006042058599691187,6,5
5,0.8111509925474253,0.00013717894859660305,7,5
6,0.2525858377401982,0.3452642620302308,8,5
7,0.2652761014453222,0.32072401302474746,9,5
8,-0.11288056110511768,0.6772413506703312,10,5
9,-0.15088814597505318,0.5769783241067349,11,5
10,-0.26349499189691983,0.3241056305199305,12,5
11,-0.2878718853705058,0.279618239212063,13,5
12,-0.32041709050343126,0.22630734983224107,14,5
13,-0.33149283467979174,0.20975193571690537,15,5
14,-0.338864835125657,0.1991762163427208,16,5
15,-0.3424246550730483,0.19419559559674007,17,5
16,-0.34115779885250397,0.19595868574421027,18,5
17,-0.34088258631423063,0.19634307225949932,19,5
18,-0.33678060493060463,0.20213040633524526,20,5
19,0.41578673473041206,0.10921115933733241,2,10
20,0.8706525474434363,1.1461033206935495e-05,3,10
21,0.451859492635369,0.0789016263428084,4,10
22,0.41430400161425973,0.11060969735401449,5,10
23,0.27211083634148386,0.3079386942433845,6,10
24,0.24083021515964323,0.3689157429151269,7,10
25,0.19200486502833852,0.47622293509635694,8,10
26,0.17375050816744375,0.5198679265265786,9,10
27,0.15206438408457662,0.5739773358307638,10,10
28,0.14073549950665995,0.6031491765839813,11,10
29,0.1290193747666525,0.6339224880114326,12,10
30,0.12139615612412147,0.6542558322296921,13,10
31,0.11409680422697911,0.6739414866877295,14,10
32,0.10863739037758113,0.6887965740322223,15,10
33,0.10360015330557024,0.7025982652663816,16,10
34,0.09950034092338159,0.7138963464098468,17,10
35,0.09577439147217423,0.7242127779580965,18,10
36,0.09258858235473225,0.733069161812442,19,10
37,0.08970488388500791,0.7411130334270687,20,10
38,-0.5453952715380661,0.028883144582073864,2,50
39,0.9577344611108481,5.7762276320089885e-09,3,50
40,0.9216034601556109,3.9591735105327725e-07,4,50
41,0.8974186483463691,2.4344249805546117e-06,5,50
42,0.8830894210418536,5.845315392379056e-06,6,50
43,0.874983232162369,9.138986837172183e-06,7,50
44,0.8702037640003368,1.1727723797533496e-05,8,50
45,0.8672428046670713,1.3621440201241922e-05,9,50
46,0.8653053369105468,1.499463159480946e-05,10,50
47,0.8639880303916619,1.5993199658995386e-05,11,50
48,0.8630740277791351,1.671838043837661e-05,12,50
49,0.8624383602573722,1.7238840805890793e-05,13,50
50,0.8620042176766535,1.7602063227532868e-05,14,50
51,0.8617210396331573,1.7842427421874437e-05,15,50
52,0.8615536043250567,1.7985840017625162e-05,16,50
53,0.8614761825646973,1.805248018299376e-05,17,50
54,0.8614692481328925,1.8058459040959492e-05,18,50
55,0.8615175458013875,1.8016851364386482e-05,19,50
56,0.8616089013643013,1.793837006584792e-05,20,50
57,0.47644677786896117,0.06207406968660254,2,100
58,0.9734006495802977,2.354763004747854e-10,3,100
59,0.9579938279044737,5.536457281527706e-09,4,100
60,0.9475896415058196,2.534368694702515e-08,5,100
61,0.9397567856657946,6.579161752835984e-08,6,100
62,0.9339065075508629,1.2390292917220352e-07,7,100
63,0.9293757405597415,1.946870959825129e-07,8,100
64,0.9256958517487751,2.7506192875262475e-07,9,100
65,0.9225809907322131,3.635882864722178e-07,10,100
66,0.9198516303778914,4.599667356207684e-07,11,100
67,0.9173906434103107,5.646353283184933e-07,12,100
68,0.9151197055330209,6.784731400404422e-07,13,100
69,0.9129816819137975,8.028509928463894e-07,14,100
70,0.910934956977588,9.39490674675145e-07,15,100
71,0.9089491530870417,1.0903873580770754e-06,16,100
72,0.907002113424201,1.257765812597019e-06,17,100
73,0.9050780729634278,1.44402531955635e-06,18,100
74,0.9031663271432234,1.65168541432115e-06,19,100
75,0.9012602438635616,1.8833251000084689e-06,20,100
76,-0.16228143692502253,0.5481913271044765,2,500
77,0.9645030354124933,1.7334717927814028e-09,3,500
78,0.916639603410935,6.003383784692956e-07,4,500
79,0.8702794638777915,1.16823766875676e-05,5,500
80,0.8323703675967515,6.323831473970406e-05,6,500
81,0.8022344132535277,0.00018472558298911416,7,500
82,0.7779022912051637,0.00038816363143708693,8,500
83,0.7578026293208936,0.0006716638538968747,9,500
84,0.7408510352034403,0.0010264899147614114,10,500
85,0.7262957280233413,0.001441879377952191,11,500
86,0.7136145492062089,0.001907026666781885,12,500
87,0.7024338348619861,0.0024119933125928885,13,500
88,0.6924776458312163,0.0029480709835264553,14,500
89,0.6835368905802112,0.0035078357011032895,15,500
90,0.675448870038012,0.004085123825732144,16,500
91,0.6680847146235328,0.004674893705522886,17,500
92,0.6613408828723217,0.005273060386952357,18,500
93,0.6551331410685876,0.005876337604748636,19,500
94,0.6493922372575441,0.006482093626918312,20,500
95,0.23139918653195382,0.3885189714347585,2,1000
96,0.9476738783229566,2.5065582712820044e-08,3,1000
97,0.8783833248789727,7.60587745287184e-06,4,1000
98,0.8159174627338928,0.00011626324833220247,5,1000
99,0.7686127128506068,0.000503436159390837,6,1000
100,0.7333685370615143,0.001225649926712405,7,1000
101,0.7064820583285564,0.0022179870085137776,8,1000
102,0.6853782944073762,0.0033860707943334932,9,1000
103,0.6683788772197491,0.004650097227315354,10,1000
104,0.6543930983566199,0.005951782804856893,11,1000
105,0.6426922337728868,0.007250848743582691,12,1000
106,0.6327708621613422,0.008520479257014334,13,1000
107,0.6242676495004195,0.009743284067425122,14,1000
108,0.6169182816181591,0.010908165510188755,15,1000
109,0.6105207790211801,0.012009001367474738,16,1000
110,0.6049186475480188,0.013042957389804474,17,1000
111,0.599987340482693,0.014009673757452861,18,1000
112,0.5956281089186426,0.014910091514441953,19,1000
113,0.5917598836823056,0.015746346042545833,20,1000
