,nr_moments,sample_size,mean,std,se
0,1,5,0.4333333333333334,0.12360330811826105,0.055277079839256664
1,1,10,0.4833333333333333,0.17330528619237848,0.07750448015724279
2,1,50,0.775,0.1003466214899358,0.04487637339278753
3,1,100,0.9,0.11636866703140784,0.05204164998665332
4,1,500,0.9916666666666668,0.018633899812498196,0.00833333333333331
5,1,1000,1.0,0.0,0.0
6,2,5,0.4166666666666667,0.11785113019775793,0.052704627669472995
7,2,10,0.4833333333333334,0.14312970031098055,0.06400954789890506
8,2,50,0.7666666666666667,0.10458250331675942,0.04677071733467426
9,2,100,0.8583333333333334,0.14613064930625155,0.06535161308899219
10,2,500,0.9916666666666668,0.018633899812498234,0.008333333333333326
11,2,1000,1.0,0.0,0.0
12,3,5,0.4416666666666666,0.1337233877990101,0.05980291706003051
13,3,10,0.4583333333333333,0.17430417219459904,0.07795119555779043
14,3,50,0.7083333333333333,0.06588078458684123,0.029462782549439473
15,3,100,0.8416666666666666,0.11562030771259676,0.05170697352496192
16,3,500,0.925,0.05432668671002206,0.024295632895188747
17,3,1000,0.9833333333333334,0.0228217732293819,0.010206207261596566
18,4,5,0.425,0.09033118078616166,0.04039733214513607
19,4,10,0.4083333333333333,0.1650967729679912,0.0738335214444556
20,4,50,0.7333333333333333,0.04750730937913072,0.021245914639969922
21,4,100,0.8166666666666668,0.13043729868748774,0.058333333333333334
22,4,500,0.975,0.03726779962499651,0.016666666666666673
23,4,1000,1.0,0.0,0.0
24,5,5,0.425,0.09033118078616166,0.04039733214513607
25,5,10,0.3916666666666666,0.12360330811826103,0.05527707983925666
26,5,50,0.7,0.12977009585331198,0.05803495115493383
27,5,100,0.8416666666666666,0.1425219281373922,0.06373774391990979
28,5,500,0.9666666666666668,0.034860834438919824,0.015590239111558093
29,5,1000,1.0,0.0,0.0
30,6,5,0.425,0.061801654059130524,0.027638539919628332
31,6,10,0.4083333333333334,0.1330726618555943,0.059511903571190426
32,6,50,0.7,0.12977009585331198,0.05803495115493383
33,6,100,0.8333333333333333,0.15866193970549805,0.07095577652469331
34,6,500,0.9666666666666668,0.034860834438919824,0.015590239111558093
35,6,1000,1.0,0.0,0.0
36,7,5,0.4416666666666667,0.06319062870042957,0.028259708263021942
37,7,10,0.425,0.1455354099714415,0.06508541396588878
38,7,50,0.6916666666666667,0.1337233877990101,0.05980291706003051
39,7,100,0.8333333333333333,0.15866193970549805,0.07095577652469331
40,7,500,0.9666666666666668,0.034860834438919824,0.015590239111558093
41,7,1000,1.0,0.0,0.0
42,8,5,0.425,0.07453559924999298,0.033333333333333326
43,8,10,0.45,0.17027347284752128,0.07614861201040445
44,8,50,0.6916666666666667,0.1337233877990101,0.05980291706003051
45,8,100,0.8333333333333333,0.15866193970549805,0.07095577652469331
46,8,500,0.9666666666666668,0.034860834438919824,0.015590239111558093
47,8,1000,1.0,0.0,0.0
48,9,5,0.4333333333333333,0.06972166887783962,0.031180478223116172
49,9,10,0.45833333333333337,0.16925080009658253,0.0756912588524373
50,9,50,0.6916666666666667,0.1337233877990101,0.05980291706003051
51,9,100,0.825,0.15701203067847308,0.07021791477646964
52,9,500,0.9666666666666668,0.034860834438919824,0.015590239111558093
53,9,1000,1.0,0.0,0.0
54,10,5,0.4333333333333333,0.06972166887783962,0.031180478223116172
55,10,10,0.45833333333333337,0.16925080009658253,0.0756912588524373
56,10,50,0.6916666666666667,0.15195485440675388,0.06795627679291703
57,10,100,0.825,0.15701203067847308,0.07021791477646964
58,10,500,0.9666666666666668,0.034860834438919824,0.015590239111558093
59,10,1000,1.0,0.0,0.0
60,11,5,0.41666666666666663,0.05892556509887895,0.02635231383473649
61,11,10,0.475,0.17330528619237853,0.07750448015724282
62,11,50,0.6916666666666667,0.1337233877990101,0.05980291706003051
63,11,100,0.825,0.14252192813739223,0.0637377439199098
64,11,500,0.9666666666666668,0.034860834438919824,0.015590239111558093
65,11,1000,1.0,0.0,0.0
66,12,5,0.41666666666666663,0.05892556509887895,0.02635231383473649
67,12,10,0.4666666666666667,0.18018123592033047,0.08057949835755716
68,12,50,0.6916666666666667,0.1337233877990101,0.05980291706003051
69,12,100,0.825,0.14252192813739223,0.0637377439199098
70,12,500,0.9583333333333333,0.04166666666666669,0.01863389981249826
71,12,1000,1.0,0.0,0.0
72,13,5,0.41666666666666663,0.05892556509887895,0.02635231383473649
73,13,10,0.45,0.18726837545203526,0.08374896350934075
74,13,50,0.6916666666666667,0.1337233877990101,0.05980291706003051
75,13,100,0.825,0.14252192813739223,0.0637377439199098
76,13,500,0.9583333333333333,0.04166666666666669,0.01863389981249826
77,13,1000,1.0,0.0,0.0
78,14,5,0.425,0.05432668671002207,0.024295632895188747
79,14,10,0.45833333333333337,0.17921510973005475,0.08014743359029727
80,14,50,0.7000000000000001,0.12289901003127186,0.05496210815947049
81,14,100,0.825,0.14252192813739223,0.0637377439199098
82,14,500,0.9583333333333333,0.04166666666666669,0.01863389981249826
83,14,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
84,15,5,0.425,0.05432668671002207,0.024295632895188747
85,15,10,0.4666666666666667,0.1849361751764346,0.08270597183866338
86,15,50,0.7000000000000001,0.12289901003127186,0.05496210815947049
87,15,100,0.8166666666666667,0.1461306493062515,0.06535161308899216
88,15,500,0.9583333333333333,0.04166666666666669,0.01863389981249826
89,15,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
90,16,5,0.4083333333333334,0.0348608344389198,0.015590239111558081
91,16,10,0.4666666666666667,0.1849361751764346,0.08270597183866338
92,16,50,0.7000000000000001,0.12289901003127186,0.05496210815947049
93,16,100,0.8166666666666667,0.1461306493062515,0.06535161308899216
94,16,500,0.9583333333333333,0.04166666666666669,0.01863389981249826
95,16,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
96,17,5,0.4083333333333334,0.0348608344389198,0.015590239111558081
97,17,10,0.45,0.15975241260567347,0.07144345083117604
98,17,50,0.7000000000000001,0.12289901003127186,0.05496210815947049
99,17,100,0.8166666666666667,0.1461306493062515,0.06535161308899216
100,17,500,0.9583333333333333,0.04166666666666669,0.01863389981249826
101,17,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
102,18,5,0.4083333333333333,0.07453559924999298,0.033333333333333326
103,18,10,0.4166666666666667,0.12842529172852035,0.05743353646704259
104,18,50,0.7000000000000001,0.12289901003127186,0.05496210815947049
105,18,100,0.8166666666666667,0.1461306493062515,0.06535161308899216
106,18,500,0.9583333333333333,0.04166666666666669,0.01863389981249826
107,18,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
108,19,5,0.4083333333333333,0.07453559924999298,0.033333333333333326
109,19,10,0.4166666666666667,0.15590239111558093,0.06972166887783965
110,19,50,0.7000000000000001,0.12289901003127186,0.05496210815947049
111,19,100,0.8083333333333332,0.14907119849998596,0.06666666666666665
112,19,500,0.9583333333333333,0.04166666666666669,0.01863389981249826
113,19,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
114,20,5,0.4083333333333333,0.07453559924999298,0.033333333333333326
115,20,10,0.38333333333333336,0.1263812574008592,0.05651941652604391
116,20,50,0.6916666666666668,0.1200405024240661,0.053683744694688014
117,20,100,0.8083333333333332,0.14907119849998596,0.06666666666666665
118,20,500,0.9583333333333333,0.04166666666666669,0.01863389981249826
119,20,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
