,nr_moments,sample_size,mean,std,se
0,1,5,0.41666666666666663,0.10622957319984966,0.04750730937913074
1,1,10,0.4666666666666667,0.15422296269434785,0.06897060565519518
2,1,50,0.7666666666666666,0.08122328620674134,0.036324157862838935
3,1,100,0.9,0.1400644692830968,0.06263873490988713
4,1,500,0.9916666666666668,0.018633899812498196,0.00833333333333331
5,1,1000,1.0,0.0,0.0
6,2,5,0.4166666666666667,0.12147816447594377,0.054326686710022075
7,2,10,0.4833333333333334,0.14312970031098055,0.06400954789890506
8,2,50,0.7750000000000001,0.10865337342004412,0.048591265790377494
9,2,100,0.8583333333333334,0.12004050242406612,0.05368374469468803
10,2,500,0.9833333333333332,0.03726779962499652,0.016666666666666677
11,2,1000,0.9916666666666668,0.018633899812498238,0.008333333333333328
12,3,5,0.4,0.08640183897219884,0.03864007706456543
13,3,10,0.4333333333333334,0.16029486718059455,0.07168604389202189
14,3,50,0.7000000000000001,0.09033118078616169,0.040397332145136085
15,3,100,0.8333333333333334,0.12842529172852035,0.05743353646704259
16,3,500,0.9166666666666667,0.06588078458684121,0.02946278254943947
17,3,1000,0.9583333333333334,0.029462782549439525,0.013176156917368266
18,4,5,0.425,0.061801654059130524,0.027638539919628332
19,4,10,0.4,0.1369306393762915,0.061237243569579436
20,4,50,0.7166666666666667,0.045643546458763826,0.020412414523193142
21,4,100,0.85,0.13372338779901013,0.059802917060030526
22,4,500,0.975,0.03726779962499651,0.016666666666666673
23,4,1000,0.9916666666666668,0.018633899812498234,0.008333333333333326
24,5,5,0.4166666666666667,0.06588078458684124,0.02946278254943948
25,5,10,0.39999999999999997,0.1200405024240661,0.053683744694688014
26,5,50,0.7,0.15422296269434788,0.0689706056551952
27,5,100,0.85,0.10865337342004414,0.048591265790377494
28,5,500,0.975,0.022821773229381892,0.010206207261596562
29,5,1000,0.9916666666666668,0.018633899812498234,0.008333333333333326
30,6,5,0.41666666666666663,0.04166666666666666,0.01863389981249824
31,6,10,0.3916666666666666,0.12360330811826103,0.05527707983925666
32,6,50,0.7,0.15422296269434788,0.0689706056551952
33,6,100,0.8333333333333333,0.13819269959814165,0.06180165405913052
34,6,500,0.975,0.022821773229381892,0.010206207261596562
35,6,1000,0.9916666666666668,0.018633899812498234,0.008333333333333326
36,7,5,0.425,0.034860834438919804,0.015590239111558083
37,7,10,0.39166666666666666,0.1003466214899358,0.04487637339278753
38,7,50,0.7083333333333333,0.1473139127471974,0.06588078458684124
39,7,100,0.8333333333333334,0.12147816447594378,0.05432668671002208
40,7,500,0.9833333333333334,0.022821773229381913,0.010206207261596571
41,7,1000,0.9916666666666668,0.018633899812498234,0.008333333333333326
42,8,5,0.4333333333333333,0.022821773229381902,0.010206207261596566
43,8,10,0.39166666666666666,0.10865337342004412,0.048591265790377494
44,8,50,0.7,0.15422296269434788,0.0689706056551952
45,8,100,0.825,0.13629522694830104,0.06095307849303246
46,8,500,0.9833333333333334,0.022821773229381913,0.010206207261596571
47,8,1000,0.9916666666666668,0.018633899812498234,0.008333333333333326
48,9,5,0.425,0.034860834438919804,0.015590239111558083
49,9,10,0.4083333333333333,0.11931517552730293,0.053359368645273735
50,9,50,0.7166666666666667,0.1542229626943479,0.06897060565519521
51,9,100,0.8333333333333334,0.12147816447594378,0.05432668671002208
52,9,500,0.9833333333333334,0.022821773229381913,0.010206207261596571
53,9,1000,0.9916666666666668,0.018633899812498234,0.008333333333333326
54,10,5,0.4166666666666667,0.029462782549439466,0.01317615691736824
55,10,10,0.41666666666666663,0.1141088661469096,0.05103103630798287
56,10,50,0.7166666666666667,0.1542229626943479,0.06897060565519521
57,10,100,0.825,0.12289901003127189,0.054962108159470495
58,10,500,0.9833333333333334,0.022821773229381913,0.010206207261596571
59,10,1000,0.9916666666666668,0.018633899812498234,0.008333333333333326
60,11,5,0.4166666666666667,0.029462782549439466,0.01317615691736824
61,11,10,0.425,0.12289901003127186,0.05496210815947049
62,11,50,0.7083333333333333,0.1473139127471974,0.06588078458684124
63,11,100,0.825,0.12289901003127189,0.054962108159470495
64,11,500,0.9833333333333334,0.022821773229381913,0.010206207261596571
65,11,1000,0.9916666666666668,0.018633899812498234,0.008333333333333326
66,12,5,0.4166666666666667,0.029462782549439466,0.01317615691736824
67,12,10,0.4166666666666667,0.12842529172852032,0.05743353646704258
68,12,50,0.7,0.14553540997144146,0.06508541396588877
69,12,100,0.8333333333333334,0.12147816447594378,0.05432668671002208
70,12,500,0.9833333333333334,0.022821773229381913,0.010206207261596571
71,12,1000,0.9916666666666668,0.018633899812498234,0.008333333333333326
72,13,5,0.4166666666666667,0.029462782549439466,0.01317615691736824
73,13,10,0.425,0.12289901003127186,0.05496210815947049
74,13,50,0.7083333333333333,0.14129854131510972,0.06319062870042957
75,13,100,0.8416666666666666,0.1228990100312719,0.0549621081594705
76,13,500,0.9833333333333334,0.022821773229381913,0.010206207261596571
77,13,1000,0.9916666666666668,0.018633899812498234,0.008333333333333326
78,14,5,0.425,0.0348608344389198,0.015590239111558081
79,14,10,0.4416666666666667,0.1337233877990101,0.05980291706003051
80,14,50,0.7083333333333333,0.14129854131510972,0.06319062870042957
81,14,100,0.85,0.1270662556831409,0.0568257570707744
82,14,500,0.9833333333333334,0.022821773229381913,0.010206207261596571
83,14,1000,0.9916666666666668,0.018633899812498234,0.008333333333333326
84,15,5,0.425,0.0348608344389198,0.015590239111558081
85,15,10,0.4416666666666667,0.1337233877990101,0.05980291706003051
86,15,50,0.7166666666666666,0.12638125740085918,0.0565194165260439
87,15,100,0.85,0.1270662556831409,0.0568257570707744
88,15,500,0.9833333333333334,0.022821773229381913,0.010206207261596571
89,15,1000,0.9916666666666668,0.018633899812498234,0.008333333333333326
90,16,5,0.4166666666666667,0.029462782549439466,0.01317615691736824
91,16,10,0.4333333333333333,0.1337233877990101,0.05980291706003051
92,16,50,0.7083333333333333,0.12147816447594377,0.054326686710022075
93,16,100,0.85,0.12360330811826105,0.055277079839256664
94,16,500,0.9833333333333334,0.022821773229381913,0.010206207261596571
95,16,1000,0.9916666666666668,0.018633899812498234,0.008333333333333326
96,17,5,0.4166666666666667,0.029462782549439466,0.01317615691736824
97,17,10,0.4083333333333334,0.11931517552730296,0.05335936864527374
98,17,50,0.7083333333333333,0.12147816447594377,0.054326686710022075
