,nr_moments,sample_size,mean,std,se
0,1,5,0.28500000000000003,0.051841103383319286,0.02318404623873925
1,1,10,0.31999999999999995,0.05419870847169702,0.024238399287081654
2,1,50,0.445,0.10062305898749055,0.045000000000000005
3,1,100,0.5799999999999998,0.0447213595499958,0.020000000000000004
4,1,500,0.43499999999999994,0.041833001326703756,0.018708286933869698
5,1,1000,0.585,0.022360679774997876,0.00999999999999999
6,2,5,0.39,0.09117291264405235,0.04077376607575023
7,2,10,0.5549999999999999,0.05700877125495691,0.025495097567963927
8,2,50,0.6950000000000001,0.07582875444051547,0.03391164991562632
9,2,100,0.795,0.05123475382979799,0.022912878474779196
10,2,500,0.9099999999999999,0.057554322166106696,0.025739075352467503
11,2,1000,0.99,0.013693063937629178,0.006123724356957956
12,3,5,0.505,0.0596866819315666,0.026692695630078273
13,3,10,0.6599999999999999,0.037914377220257756,0.01695582495781317
14,3,50,0.8800000000000001,0.05700877125495689,0.025495097567963917
15,3,100,0.8950000000000001,0.0410791918128875,0.018371173070873853
16,3,500,0.9400000000000001,0.028504385627478403,0.012747548783981941
17,3,1000,1.0,0.0,0.0
18,4,5,0.485,0.06754628043053149,0.03020761493398643
19,4,10,0.7449999999999999,0.044721359549995836,0.020000000000000018
20,4,50,0.9349999999999999,0.05184110338331929,0.023184046238739254
21,4,100,0.9550000000000001,0.02738612787525829,0.012247448713915882
22,4,500,0.96,0.028504385627478444,0.012747548783981958
23,4,1000,1.0,0.0,0.0
24,5,5,0.505,0.044721359549995815,0.020000000000000007
25,5,10,0.7950000000000002,0.06937218462755801,0.031024184114977125
26,5,50,0.95,0.05303300858899107,0.023717082451262847
27,5,100,0.9800000000000001,0.032596012026013234,0.014577379737113247
28,5,500,1.0,0.0,0.0
29,5,1000,1.0,0.0,0.0
30,6,5,0.505,0.041079191812887494,0.01837117307087385
31,6,10,0.805,0.0737394060187631,0.032977264895682284
32,6,50,0.9400000000000001,0.051841103383319306,0.02318404623873926
33,6,100,0.9650000000000001,0.04183300132670374,0.01870828693386969
34,6,500,1.0,0.0,0.0
35,6,1000,1.0,0.0,0.0
36,7,5,0.4950000000000001,0.04472135954999581,0.020000000000000004
37,7,10,0.805,0.0737394060187631,0.032977264895682284
38,7,50,0.945,0.054198708471697006,0.024238399287081647
39,7,100,0.99,0.022360679774997935,0.010000000000000016
40,7,500,1.0,0.0,0.0
41,7,1000,1.0,0.0,0.0
42,8,5,0.48500000000000004,0.041833001326703784,0.01870828693386971
43,8,10,0.8,0.07288689868556622,0.03259601202601323
44,8,50,0.93,0.03259601202601322,0.01457737973711324
45,8,100,0.9800000000000001,0.02091650066335197,0.00935414346693489
46,8,500,1.0,0.0,0.0
47,8,1000,1.0,0.0,0.0
48,9,5,0.48999999999999994,0.06754628043053147,0.030207614933986424
49,9,10,0.7949999999999999,0.069372184627558,0.03102418411497712
50,9,50,0.9400000000000001,0.03791437722025772,0.016955824957813156
51,9,100,0.9800000000000001,0.02091650066335197,0.00935414346693489
52,9,500,1.0,0.0,0.0
53,9,1000,1.0,0.0,0.0
54,10,5,0.5000000000000001,0.0637377439199098,0.028504385627478444
55,10,10,0.78,0.0596866819315666,0.026692695630078273
56,10,50,0.925,0.024999999999999942,0.011180339887498923
57,10,100,0.975,0.02500000000000001,0.011180339887498952
58,10,500,1.0,0.0,0.0
59,10,1000,1.0,0.0,0.0
60,11,5,0.4950000000000001,0.054198708471696985,0.024238399287081637
61,11,10,0.7950000000000002,0.05700877125495692,0.025495097567963934
62,11,50,0.93,0.0325960120260132,0.014577379737113231
63,11,100,0.975,0.02500000000000001,0.011180339887498952
64,11,500,1.0,0.0,0.0
65,11,1000,1.0,0.0,0.0
66,12,5,0.495,0.06937218462755804,0.03102418411497714
67,12,10,0.7949999999999999,0.05419870847169701,0.02423839928708165
68,12,50,0.9200000000000002,0.020916500663351857,0.009354143466934839
69,12,100,0.97,0.032596012026013255,0.014577379737113256
70,12,500,1.0,0.0,0.0
71,12,1000,1.0,0.0,0.0
72,13,5,0.49499999999999994,0.08366600265340757,0.03741657386773942
73,13,10,0.7949999999999999,0.05419870847169701,0.02423839928708165
74,13,50,0.925,0.024999999999999942,0.011180339887498923
75,13,100,0.975,0.02500000000000001,0.011180339887498952
76,13,500,1.0,0.0,0.0
77,13,1000,1.0,0.0,0.0
