,nr_moments,sample_size,mean,std,se
0,1,5,0.4416666666666666,0.14907119849998596,0.06666666666666665
1,1,10,0.475,0.17824374696839534,0.0797130269571208
2,1,50,0.7916666666666667,0.06588078458684124,0.02946278254943948
3,1,100,0.9083333333333334,0.12289901003127186,0.05496210815947049
4,1,500,0.9916666666666668,0.018633899812498196,0.00833333333333331
5,1,1000,1.0,0.0,0.0
6,2,5,0.4083333333333333,0.08014743359029726,0.03584302194601094
7,2,10,0.4833333333333333,0.16822191031821956,0.07523112535528244
8,2,50,0.7666666666666667,0.06319062870042956,0.028259708263021936
9,2,100,0.9,0.14006446928309674,0.06263873490988711
10,2,500,0.9916666666666668,0.018633899812498196,0.00833333333333331
11,2,1000,1.0,0.0,0.0
12,3,5,0.375,0.02946278254943949,0.01317615691736825
13,3,10,0.4666666666666666,0.18957188610128875,0.08477912478906584
14,3,50,0.7333333333333333,0.04750730937913077,0.021245914639969946
15,3,100,0.85,0.16298006013006625,0.07288689868556626
16,3,500,0.9833333333333334,0.022821773229381875,0.010206207261596554
17,3,1000,0.9916666666666668,0.018633899812498234,0.008333333333333326
18,4,5,0.4,0.10034662148993581,0.044876373392787536
19,4,10,0.45,0.2006932429798716,0.08975274678557506
20,4,50,0.7166666666666667,0.03486083443891983,0.015590239111558097
21,4,100,0.8333333333333334,0.12842529172852038,0.057433536467042606
22,4,500,0.9916666666666668,0.018633899812498196,0.00833333333333331
23,4,1000,1.0,0.0,0.0
24,5,5,0.4083333333333334,0.11180339887498947,0.04999999999999999
25,5,10,0.4666666666666667,0.2251542681017716,0.10069204977995477
26,5,50,0.6833333333333333,0.04750730937913076,0.02124591463996994
27,5,100,0.8416666666666666,0.1425219281373922,0.06373774391990979
28,5,500,0.9916666666666668,0.018633899812498196,0.00833333333333331
29,5,1000,0.9833333333333334,0.022821773229381913,0.010206207261596571
30,6,5,0.39166666666666666,0.09128709291752768,0.0408248290463863
31,6,10,0.4833333333333333,0.2157029850924131,0.09646530752325189
32,6,50,0.6666666666666666,0.09316949906249125,0.04166666666666667
33,6,100,0.8166666666666667,0.1461306493062515,0.06535161308899216
34,6,500,0.9833333333333334,0.022821773229381937,0.010206207261596581
35,6,1000,0.9833333333333334,0.022821773229381913,0.010206207261596571
36,7,5,0.4416666666666666,0.07569125885243728,0.0338501600193165
37,7,10,0.4666666666666667,0.20707956066315295,0.09260879487872029
38,7,50,0.65,0.0959238702768445,0.042898458920779176
39,7,100,0.8083333333333333,0.14613064930625147,0.06535161308899215
40,7,500,0.9916666666666668,0.018633899812498196,0.00833333333333331
41,7,1000,0.975,0.03726779962499652,0.016666666666666677
42,8,5,0.4083333333333333,0.09947780321927766,0.04448782605013045
43,8,10,0.45,0.20497289793748072,0.09166666666666666
44,8,50,0.65,0.10865337342004415,0.0485912657903775
45,8,100,0.7916666666666667,0.15309310892394862,0.06846531968814576
46,8,500,0.9833333333333332,0.03726779962499654,0.016666666666666684
47,8,1000,1.0,0.0,0.0
48,9,5,0.4083333333333333,0.09947780321927766,0.04448782605013045
49,9,10,0.45,0.20284435741063472,0.09071475440448849
50,9,50,0.6416666666666667,0.12360330811826108,0.05527707983925667
51,9,100,0.7916666666666667,0.15309310892394862,0.06846531968814576
52,9,500,0.9916666666666668,0.018633899812498196,0.00833333333333331
53,9,1000,1.0,0.0,0.0
54,10,5,0.4083333333333334,0.09501461875826149,0.042491829279939865
55,10,10,0.4583333333333333,0.17921510973005472,0.08014743359029726
56,10,50,0.6416666666666667,0.12360330811826108,0.05527707983925667
57,10,100,0.7916666666666666,0.13819269959814162,0.061801654059130504
58,10,500,0.9916666666666668,0.018633899812498196,0.00833333333333331
59,10,1000,1.0,0.0,0.0
60,11,5,0.4416666666666667,0.07569125885243728,0.0338501600193165
61,11,10,0.45,0.18493617517643457,0.08270597183866336
62,11,50,0.6416666666666666,0.12004050242406605,0.05368374469468799
63,11,100,0.7749999999999999,0.15478479684172256,0.06922186552431728
