,score,cost,gamma,nr_moments,sample_size
0,0.3333333333333333,1.0,5.0,2,5
1,0.4166666666666667,5.0,1.0,3,5
2,0.4583333333333333,5.0,0.25,4,5
3,0.4166666666666667,10.0,1.0,5,5
4,0.4583333333333333,5.0,0.25,6,5
5,0.3333333333333333,5.0,1.0,7,5
6,0.4583333333333333,10.0,0.25,8,5
7,0.375,5.0,1.0,9,5
8,0.375,10.0,1.0,10,5
9,0.4583333333333333,10.0,0.25,11,5
10,0.3333333333333333,10.0,1.0,12,5
11,0.4583333333333333,10.0,0.25,13,5
12,0.4583333333333333,5.0,0.25,14,5
13,0.375,5.0,1.0,15,5
14,0.4583333333333333,5.0,0.25,16,5
15,0.4583333333333333,5.0,0.25,17,5
16,0.375,5.0,1.0,18,5
17,0.375,5.0,1.0,19,5
18,0.4583333333333333,5.0,0.25,20,5
19,0.20833333333333334,5.0,10.0,2,10
20,0.3333333333333333,5.0,10.0,3,10
21,0.375,10.0,10.0,4,10
22,0.375,5.0,10.0,5,10
23,0.3333333333333333,10.0,5.0,6,10
24,0.4583333333333333,10.0,5.0,7,10
25,0.4583333333333333,5.0,5.0,8,10
26,0.4166666666666667,10.0,5.0,9,10
27,0.4583333333333333,5.0,5.0,10,10
28,0.4166666666666667,10.0,10.0,11,10
29,0.4166666666666667,10.0,5.0,12,10
30,0.4583333333333333,5.0,5.0,13,10
31,0.4166666666666667,10.0,5.0,14,10
32,0.4583333333333333,5.0,5.0,15,10
33,0.4583333333333333,5.0,10.0,16,10
34,0.4166666666666667,10.0,5.0,17,10
35,0.4583333333333333,5.0,5.0,18,10
36,0.4166666666666667,10.0,5.0,19,10
37,0.4583333333333333,5.0,10.0,20,10
38,0.75,5.0,10.0,2,50
39,0.625,10.0,5.0,3,50
40,0.5833333333333334,10.0,10.0,4,50
41,0.625,10.0,10.0,5,50
42,0.625,10.0,5.0,6,50
43,0.625,10.0,5.0,7,50
44,0.625,5.0,5.0,8,50
45,0.75,10.0,1.0,9,50
46,0.7916666666666666,10.0,1.0,10,50
47,0.75,10.0,1.0,11,50
48,0.75,10.0,1.0,12,50
49,0.75,10.0,1.0,13,50
50,0.7916666666666666,10.0,1.0,14,50
51,0.7916666666666666,10.0,1.0,15,50
52,0.7916666666666666,10.0,1.0,16,50
53,0.7916666666666666,10.0,1.0,17,50
54,0.7916666666666666,10.0,1.0,18,50
55,0.5833333333333334,5.0,5.0,19,50
56,0.7916666666666666,10.0,1.0,20,50
57,0.7916666666666666,5.0,10.0,2,100
58,0.7083333333333334,10.0,10.0,3,100
59,0.7083333333333334,10.0,10.0,4,100
60,0.7916666666666666,10.0,10.0,5,100
61,0.7916666666666666,10.0,10.0,6,100
62,0.7916666666666666,10.0,10.0,7,100
63,0.7916666666666666,10.0,10.0,8,100
64,0.7916666666666666,10.0,10.0,9,100
65,0.7916666666666666,5.0,10.0,10,100
66,0.7916666666666666,5.0,10.0,11,100
67,0.7916666666666666,5.0,10.0,12,100
68,0.75,5.0,10.0,13,100
69,0.75,10.0,10.0,14,100
70,0.75,5.0,10.0,15,100
71,0.75,10.0,10.0,16,100
72,0.75,10.0,10.0,17,100
73,0.7916666666666666,10.0,5.0,18,100
74,0.75,5.0,10.0,19,100
75,0.75,5.0,10.0,20,100
76,1.0,0.25,1.0,2,500
77,1.0,0.25,5.0,3,500
78,1.0,0.25,5.0,4,500
79,1.0,0.25,5.0,5,500
80,1.0,0.25,5.0,6,500
81,1.0,0.25,5.0,7,500
82,1.0,1.0,1.0,8,500
83,1.0,1.0,5.0,9,500
84,1.0,1.0,1.0,10,500
85,1.0,1.0,1.0,11,500
86,1.0,1.0,1.0,12,500
87,0.9583333333333334,1.0,5.0,13,500
88,0.9583333333333334,1.0,5.0,14,500
89,0.9166666666666666,1.0,5.0,15,500
90,0.8333333333333334,1.0,5.0,16,500
91,0.7916666666666666,1.0,5.0,17,500
92,0.7916666666666666,1.0,5.0,18,500
93,0.7916666666666666,1.0,5.0,19,500
94,0.7916666666666666,1.0,5.0,20,500
95,1.0,0.25,0.25,2,1000
96,1.0,0.25,0.25,3,1000
97,1.0,0.25,0.25,4,1000
98,1.0,0.25,1.0,5,1000
99,1.0,0.25,1.0,6,1000
100,1.0,0.25,5.0,7,1000
101,1.0,0.25,1.0,8,1000
102,1.0,0.25,5.0,9,1000
103,1.0,1.0,0.25,10,1000
104,1.0,1.0,0.25,11,1000
105,1.0,1.0,0.25,12,1000
106,1.0,1.0,1.0,13,1000
107,1.0,1.0,0.25,14,1000
108,1.0,1.0,0.25,15,1000
109,1.0,1.0,0.25,16,1000
110,1.0,1.0,1.0,17,1000
111,1.0,1.0,1.0,18,1000
112,1.0,1.0,1.0,19,1000
113,1.0,1.0,1.0,20,1000
