,nr_moments,sample_size,mean,std,se
0,1,5,0.475,0.047507309379130745,0.021245914639969932
1,1,10,0.425,0.05432668671002207,0.024295632895188747
2,1,50,0.5416666666666667,0.04166666666666668,0.01863389981249825
3,1,100,0.5833333333333333,0.07795119555779044,0.03486083443891981
4,1,500,0.825,0.09501461875826145,0.04249182927993985
5,1,1000,0.925,0.06846531968814576,0.03061862178478972
6,2,5,0.525,0.06319062870042957,0.028259708263021942
7,2,10,0.675,0.03486083443891984,0.015590239111558098
8,2,50,0.7833333333333332,0.10374916331657276,0.04639803635691684
9,2,100,0.8416666666666666,0.09501461875826149,0.042491829279939865
10,2,500,0.9666666666666668,0.034860834438919824,0.015590239111558093
11,2,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
12,3,5,0.5,0.051031036307982836,0.022821773229381902
13,3,10,0.7166666666666666,0.09033118078616166,0.04039733214513607
14,3,50,0.825,0.11562030771259674,0.051706973524961904
15,3,100,0.9,0.0912870929175277,0.04082482904638631
16,3,500,0.9666666666666668,0.034860834438919824,0.015590239111558093
17,3,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
18,4,5,0.5083333333333333,0.03486083443891982,0.01559023911155809
19,4,10,0.7666666666666667,0.0864018389721989,0.03864007706456546
20,4,50,0.825,0.13944333775567924,0.062360956446232345
21,4,100,0.9083333333333334,0.06846531968814577,0.03061862178478973
22,4,500,0.9833333333333334,0.037267799624996496,0.016666666666666666
23,4,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
24,5,5,0.5,0.08333333333333331,0.03726779962499648
25,5,10,0.7249999999999999,0.0912870929175277,0.04082482904638631
26,5,50,0.8083333333333333,0.12706625568314087,0.05682575707077439
27,5,100,0.9166666666666666,0.058925565098878974,0.026352313834736497
28,5,500,0.9833333333333334,0.037267799624996496,0.016666666666666666
29,5,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
30,6,5,0.4833333333333334,0.04750730937913073,0.02124591463996993
31,6,10,0.725,0.06972166887783966,0.031180478223116193
32,6,50,0.8083333333333333,0.10458250331675945,0.046770717334674264
33,6,100,0.9083333333333334,0.054326686710022075,0.02429563289518875
34,6,500,0.9833333333333334,0.037267799624996496,0.016666666666666666
35,6,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
36,7,5,0.5249999999999999,0.022821773229381913,0.010206207261596571
37,7,10,0.7083333333333333,0.05103103630798287,0.022821773229381916
38,7,50,0.7916666666666667,0.09771699499632144,0.04370036867375631
39,7,100,0.9,0.06972166887783966,0.031180478223116193
40,7,500,0.9833333333333334,0.037267799624996496,0.016666666666666666
41,7,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
42,8,5,0.5249999999999999,0.022821773229381913,0.010206207261596571
43,8,10,0.7166666666666666,0.07453559924999302,0.03333333333333335
44,8,50,0.8166666666666667,0.1163686670314078,0.052041649986653296
45,8,100,0.9,0.06972166887783966,0.031180478223116193
46,8,500,0.9833333333333334,0.037267799624996496,0.016666666666666666
47,8,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
48,9,5,0.5249999999999999,0.022821773229381913,0.010206207261596571
49,9,10,0.7333333333333333,0.08640183897219883,0.038640077064565424
50,9,50,0.8166666666666667,0.1200405024240661,0.053683744694688014
51,9,100,0.9,0.06972166887783966,0.031180478223116193
52,9,500,0.9833333333333334,0.037267799624996496,0.016666666666666666
53,9,1000,0.9833333333333334,0.022821773229381885,0.010206207261596559
54,10,5,0.5249999999999999,0.022821773229381913,0.010206207261596571
55,10,10,0.7083333333333333,0.0416666666666667,0.018633899812498262
56,10,50,0.775,0.09592387027684449,0.04289845892077917
57,10,100,0.8916666666666666,0.06319062870042962,0.028259708263021963
58,10,500,0.9833333333333334,0.037267799624996496,0.016666666666666666
59,10,1000,0.9833333333333334,0.022821773229381885,0.010206207261596559
60,11,5,0.5249999999999999,0.022821773229381913,0.010206207261596571
61,11,10,0.7083333333333333,0.06588078458684121,0.02946278254943947
62,11,50,0.8083333333333333,0.1125771340508858,0.05034602488997739
63,11,100,0.9,0.06972166887783966,0.031180478223116193
64,11,500,0.9833333333333334,0.037267799624996496,0.016666666666666666
65,11,1000,0.9833333333333334,0.022821773229381885,0.010206207261596559
66,12,5,0.5083333333333333,0.03486083443891982,0.01559023911155809
67,12,10,0.7083333333333333,0.08333333333333334,0.037267799624996496
68,12,50,0.8333333333333334,0.1317615691736825,0.058925565098878974
69,12,100,0.9,0.06972166887783966,0.031180478223116193
70,12,500,0.975,0.03726779962499649,0.016666666666666663
71,12,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
72,13,5,0.5,0.051031036307982836,0.022821773229381902
73,13,10,0.7333333333333333,0.08640183897219883,0.038640077064565424
74,13,50,0.8083333333333333,0.1125771340508858,0.05034602488997739
75,13,100,0.9,0.06972166887783966,0.031180478223116193
76,13,500,0.9833333333333334,0.037267799624996496,0.016666666666666666
77,13,1000,0.9833333333333334,0.022821773229381885,0.010206207261596559
78,14,5,0.5166666666666666,0.022821773229381906,0.010206207261596567
79,14,10,0.6916666666666667,0.037267799624996545,0.016666666666666687
80,14,50,0.7916666666666666,0.11410886614690958,0.05103103630798286
81,14,100,0.9,0.06972166887783966,0.031180478223116193
82,14,500,0.975,0.03726779962499649,0.016666666666666663
83,14,1000,0.9833333333333334,0.022821773229381885,0.010206207261596559
84,15,5,0.5083333333333333,0.03486083443891982,0.01559023911155809
85,15,10,0.7083333333333333,0.06588078458684121,0.02946278254943947
86,15,50,0.7999999999999999,0.11180339887498947,0.04999999999999999
87,15,100,0.9,0.06972166887783966,0.031180478223116193
88,15,500,0.975,0.03726779962499649,0.016666666666666663
89,15,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
90,16,5,0.5083333333333333,0.03486083443891982,0.01559023911155809
91,16,10,0.7083333333333333,0.06588078458684121,0.02946278254943947
92,16,50,0.7916666666666666,0.11410886614690958,0.05103103630798286
93,16,100,0.9,0.06972166887783966,0.031180478223116193
94,16,500,0.975,0.03726779962499649,0.016666666666666663
95,16,1000,0.9833333333333334,0.022821773229381885,0.010206207261596559
96,17,5,0.5166666666666666,0.0756912588524373,0.033850160019316504
97,17,10,0.7083333333333333,0.08333333333333334,0.037267799624996496
98,17,50,0.8333333333333334,0.1317615691736825,0.058925565098878974
99,17,100,0.9,0.06972166887783966,0.031180478223116193
100,17,500,0.975,0.03726779962499649,0.016666666666666663
101,17,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
102,18,5,0.5249999999999999,0.022821773229381913,0.010206207261596571
103,18,10,0.725,0.04750730937913073,0.02124591463996993
104,18,50,0.825,0.13629522694830107,0.06095307849303248
105,18,100,0.9,0.06972166887783966,0.031180478223116193
106,18,500,0.975,0.03726779962499649,0.016666666666666663
107,18,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
108,19,5,0.5166666666666666,0.03726779962499648,0.01666666666666666
109,19,10,0.7166666666666666,0.07453559924999302,0.03333333333333335
110,19,50,0.8083333333333333,0.1125771340508858,0.05034602488997739
111,19,100,0.9,0.06972166887783966,0.031180478223116193
112,19,500,0.975,0.03726779962499649,0.016666666666666663
113,19,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
114,20,5,0.5166666666666666,0.0756912588524373,0.033850160019316504
115,20,10,0.6916666666666667,0.06319062870042957,0.028259708263021942
116,20,50,0.8333333333333334,0.1317615691736825,0.058925565098878974
117,20,100,0.9,0.06972166887783966,0.031180478223116193
118,20,500,0.9833333333333334,0.037267799624996496,0.016666666666666666
119,20,1000,0.9916666666666666,0.018633899812498238,0.008333333333333328
